angle_of_attack , side_slip_angle , drag_c , lift_c
-80,0,0.3584,0.3059
-60,0,0.316,0.2566
-40,0,0.2416,0.197
-20,0,0.1261,0.0354
0,0,0.1068,0.0353
20,0,0.1139,0.0737
40,0,0.1522,0.1328
60,0,0.1447,0.076
80,0,0.1397,0.0044
-80,20,0.262,0.25
-60,20,0.261,-0.274
-40,20,0.234,0.16
-20,20,0.147,-0.0233
0,20,0.14263,0.0136304
20,20,0.131,0.024
40,20,0.1353,0.0833
60,20,0.136,0.045
80,20,0.139,-0.015
-80,40,0.258,0.245
-60,40,0.26,-0.0943
-40,40,0.23,0.145
-20,40,0.2207,0.018
0,40,0.248,-0.00156
20,40,0.212,-0.03
40,40,0.164,0.0109
60,40,0.143,0.0127
80,40,0.145,-0.0348
-80,60,0.265,0.2418
-60,60,0.3,0.16
-40,60,0.245,0.158
-20,60,0.218,0.0511
0,60,0.239,0.00167
20,60,0.214,-0.0446
40,60,0.192,-0.00125
60,60,0.158,-0.022
80,60,0.152,-0.0312
-80,80,,
-60,80,,
-40,80,,
-20,80,,
0,80,0.266,0.0221
20,80,0.215,-0.0094
40,80,0.208,0.027
60,80,0.2466,0.1828
80,80,0.156,0.192
-80,-20,0.262,0.25
-60,-20,0.261,-0.274
-40,-20,0.234,0.16
-20,-20,0.147,-0.0233
0,-20,0.14263,0.0136304
20,-20,0.131,0.024
40,-20,0.1353,0.0833
60,-20,0.136,0.045
80,-20,0.139,-0.015
-80,-40,0.258,0.245
-60,-40,0.26,-0.0943
-40,-40,0.23,0.145
-20,-40,0.2207,0.018
0,-40,0.248,-0.00156
20,-40,0.212,-0.03
40,-40,0.164,0.0109
60,-40,0.143,0.0127
80,-40,0.145,-0.0348
-80,-60,0.265,0.2418
-60,-60,0.3,0.16
-40,-60,0.245,0.158
-20,-60,0.218,0.0511
0,-60,0.239,0.00167
20,-60,0.214,-0.0446
40,-60,0.192,-0.00125
60,-60,0.158,-0.022
80,-60,0.152,-0.0312
-80,-80,,
-60,-80,,
-40,-80,,
-20,-80,,
0,-80,0.266,0.0221
20,-80,0.215,-0.0094
40,-80,0.208,0.027
60,-80,0.2466,0.1828
80,-80,0.156,0.192
-100,180,0.28,-0.21
-120,180,0.14,0.0433
-140,180,0.167,-0.0109
-160,180,0.14,-0.00024
180,180,0.135,0.11
160,180,0.2427,0.198
140,180,0.31,0.197
120,180,0.273,0.1905
100,180,0.21,0.07
-100,-160,0.34,-0.2824
-120,-160,0.196,-0.0851
-140,-160,0.183,-0.046
-160,-160,0.198,-0.029
180,-160,0.259,0.134
160,-160,0.2647,0.15
140,-160,0.26,0.16
120,-160,0.29,0.1897
100,-160,0.2,0.035
-100,-140,0.25,-0.1027
-120,-140,0.19,-0.06641
-140,-140,0.23,0.0085
-160,-140,0.287,-0.021
180,-140,0.3,-0.023
160,-140,0.28,0.0368
140,-140,0.28,0.079
120,-140,0.29,0.11
100,-140,0.22,0.074
-100,-120,0.21,-0.0821
-120,-120,0.25,0.022
-140,-120,0.26,0.14
-160,-120,0.29,-0.0015
180,-120,0.38,-0.024
160,-120,0.35,0.037
140,-120,0.29,-0.014
120,-120,0.27,0.0723
100,-120,0.225,0.055
-100,-100,,
-120,-100,,
-140,-100,,
-160,-100,,
180,-100,0.37,0.055
160,-100,0.28,-0.031
140,-100,0.29,-0.0449
120,-100,0.22,-0.0025
100,-100,0.23,-0.03
-100,160,0.34,-0.2824
-120,160,0.196,-0.0851
-140,160,0.183,-0.046
-160,160,0.198,-0.029
180,160,0.259,0.134
160,160,0.2647,0.15
140,160,0.26,0.16
120,160,0.29,0.1897
100,160,0.2,0.035
-100,140,0.25,-0.1027
-120,140,0.19,-0.06641
-140,140,0.23,0.0085
-160,140,0.287,-0.021
180,140,0.3,-0.023
160,140,0.28,0.0368
140,140,0.28,0.079
120,140,0.29,0.11
100,140,0.22,0.074
-100,120,0.21,-0.0821
-120,120,0.25,0.022
-140,120,0.26,0.14
-160,120,0.29,-0.0015
180,120,0.38,-0.024
160,120,0.35,0.037
140,120,0.29,-0.014
120,120,0.27,0.0723
100,120,0.225,0.055
-100,100,,
-120,100,,
-140,100,,
-160,100,,
180,100,0.37,0.055
160,100,0.28,-0.031
140,100,0.29,-0.0449
120,100,0.22,-0.0025
100,100,0.23,-0.03
