"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1526666457651682 0.03823804203908512 1.448039115825342e-05 -0.02691018559057388 0.0002773396843814487 -0.0001104692731260889
20 0.1673821270404924 0.04369983765933039 -0.0007883126352288877 -0.01455719261363196 6.301466449390139e-05 -5.087511103527543e-05
30 0.1657675737153377 0.06253917153368717 -0.001520396588387662 -0.01031172055265346 -5.574007031288073e-05 -4.443245293681967e-05
40 0.16157910536375 0.06342467356996195 -1.029278010285796e-05 -0.009925411077425443 -0.0001200118083428771 0.0003064590591923814
50 0.1570375891130598 0.05960178309345942 -0.001062557224523836 -0.009917518503651105 -7.749718146344638e-05 0.0001610545321045801
60 0.1539831330605582 0.05314743982451415 -0.000934229141557708 -0.009859886582618774 -0.0001606218641694829 0.0001936627996710885
70 0.1523005075729449 0.04993488091401303 -6.250376723180225e-05 -0.0100533826870472 -0.0001567679598921147 0.000254708385069182
80 0.1505719202122766 0.04805146751667997 -0.0001906524716019538 -0.01027436728060553 -0.0001122133948271697 0.0002414079266300477
90 0.1491579323945124 0.04628801313196054 -0.00044931746010349 -0.01039806802873096 -9.203445253825519e-05 0.0001797742868740699
100 0.1479515705422802 0.04505451180107775 -0.0007651026531011812 -0.01044274074224403 -3.159796884689713e-05 9.673013515018384e-05
110 0.1471676033414406 0.04424741029176548 -0.0009271194686688898 -0.01046772776382538 1.702602247065676e-05 6.915929865657033e-05
120 0.1468678410323675 0.04383088457535397 -0.0009860822041870374 -0.0104780338470767 3.137501644442803e-05 7.571528614348064e-05
130 0.1468010099847306 0.0436686763412012 -0.001020722661684154 -0.01052818412170516 5.934136686610402e-06 8.044684967564356e-05
140 0.1468491497156169 0.04362470282059674 -0.0009883220563076181 -0.01060288495644851 -3.473403180288161e-05 8.830898736155362e-05
150 0.146878904968082 0.04364819945707274 -0.0009442211671039188 -0.01064675939041402 -8.488179799170852e-05 0.0001108747064271034
