"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 370.9738997622898 6180.481983945127 -1062.784166062405 803.2027019438577 -16.26774302254764 -2572.368404594392
20 -3.61291466320159e+61 -4.241137358460083e+60 -1.419090338259746e+61 -3.277632015843751e+60 1.852312331111585e+61 9.536515175835585e+59
30 2.360652071876742e+59 -3.850413170425844e+59 -2.244978689730195e+58 -3.78785478714295e+58 -1.37465339499713e+59 1.685646449216834e+59
40 -4.652113013199728e+58 -6.764659078689956e+58 -1.559586525600822e+58 -1.629352939910449e+58 1.541783332550137e+58 2.930557573501231e+58
50 -5.785324714090946e+57 -1.709900970417644e+58 -9.33187750589898e+57 -2.823884220146274e+57 3.274506999382442e+57 4.822965580945254e+57
60 3.708436608615992e+57 -3.836672249045713e+56 -6.439775585078081e+56 -2.244903409270941e+56 -1.990002330821513e+56 3.534135424083374e+56
70 1.326374077955986e+57 4.722207656110962e+56 -1.22894988582319e+57 -4.552875723719286e+55 9.837275066549093e+55 3.865988444826916e+54
80 6.456634014816311e+56 2.48385810936827e+56 9.22213045616654e+55 -8.485365592285959e+54 5.601700592032141e+55 7.508610148352862e+55
90 3.317683485786591e+56 6.514917166334279e+55 1.650900687900146e+56 6.632601387820946e+55 7.116205234722556e+54 9.819736286475469e+55
100 1.634567033336306e+56 -7.66251526178202e+55 1.05119204816411e+56 3.281544354084396e+54 -7.546694330036788e+54 5.140384464655212e+55
110 4.465980328641231e+55 -3.026566894523839e+55 7.646083175213552e+55 -9.710495850292142e+54 2.80645778297008e+54 1.436309502994945e+55
120 1.736769607063804e+55 -2.65080464691554e+55 2.053065030511581e+55 -2.605810732697875e+54 2.358572827757914e+54 6.639649489354661e+54
130 3.544054961818131e+54 -2.920694135605489e+54 1.146810749672336e+54 -1.986421762926271e+54 1.008293680850793e+54 2.919229015799673e+54
140 1.078910398854379e+54 3.595015233422853e+54 -4.753588669589449e+54 -1.190503485584777e+54 -5.763117647147004e+52 2.23086518797243e+53
150 -4.804023672787155e+53 2.661536004811248e+54 -6.242655199933022e+53 4.62618642292839e+51 2.034285406796351e+53 9.845801745801849e+52
160 4.983479446802408e+53 8.769546926308993e+53 8.232138056169214e+52 1.828677491487908e+53 1.22330251152367e+53 -7.026082115599573e+52
170 -8.946241597175832e+52 8.084962565520702e+52 -6.298029598851979e+53 -8.454225567512382e+52 -7.790636145876982e+52 4.416758305139484e+52
180 1.019166518589733e+53 9.177051977004355e+52 2.391881218289396e+52 -2.827649478008317e+52 1.076951005362888e+52 1.285245377644265e+52
190 3.184661160638535e+52 -5.730478813838683e+52 1.861399248989397e+53 -4.707251981367106e+52 1.502503035315868e+52 8.969057376187702e+52
200 -8.245456729477422e+52 -6.19454599530755e+52 9.734438336258807e+52 -2.884897868937306e+52 5.588027883827238e+51 1.906882892577933e+52
210 -1.693088534158523e+52 -3.031526426882632e+51 4.084494086206508e+52 -2.32368874209982e+52 -7.054732127061492e+51 2.909900547903579e+51
220 1.327264427337998e+52 4.309629234734023e+52 5.943992453085142e+52 -7.683182583999102e+51 -1.934259752237589e+51 -1.150992309762073e+52
230 6.215187622640468e+51 3.555882773868471e+52 4.26572136719692e+51 -6.857409108551446e+51 3.303674538265738e+51 -2.123478522437803e+52
240 2.738044018971191e+52 1.35734095057396e+52 7.506687365317886e+51 -4.021520912897083e+51 -7.609776907947665e+50 -2.564147265195373e+51
250 1.364427470279879e+52 8.569890412947311e+51 9.413025380985772e+51 -4.249863659707888e+51 -1.742051879212609e+51 5.316696553612779e+51
260 -5.925516928206499e+51 3.44140247315778e+51 7.458764374383564e+51 -2.42183548474856e+51 -1.088291208470916e+51 2.843672529989087e+51
270 1.422990521256398e+51 -2.634773048259289e+50 -6.141368656367523e+50 6.214899949964983e+50 7.891085259501251e+49 -1.677426923769642e+50
280 7.29096248655466e+50 -1.603262550010385e+50 5.417234573131512e+50 9.500527043885874e+49 -2.173079145811908e+49 2.117524021344038e+50
290 7.571103824745364e+50 -2.571504035443091e+50 1.509387442513962e+51 9.051182965929744e+49 4.107186465429657e+47 2.196467599778694e+50
300 3.497142834643366e+50 -3.109037989685308e+50 5.648455941942968e+50 9.277660900267275e+49 -5.207602317366438e+48 1.596306575939909e+50
310 6.064331259423738e+49 -1.505055421188169e+50 8.171179697900072e+49 2.660365764729322e+49 -8.892930416503006e+48 7.328201146116901e+49
320 7.480408595909682e+48 2.959530174202727e+48 3.780601382345198e+48 1.31250255804975e+49 2.644063995239192e+48 -8.42044874567688e+45
