"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale" "cs-scale-avg" "cd-scale-avg" "cl-scale-avg")
10 0.09934352125001431 0.03139143886166819 -0.01257110008993853 0.001854787880197896 -0.001113362103703686 -0.005856269690211771 0.1020116415762936 0.03108946844486722 -0.007123443208994292 0.01058298642628695 0.2689344493163549 0.02032615655816018
20 0.123971123616762 0.02497131927018485 -0.009550225250955099 0.001768823429822354 -0.0006382780346818038 -0.006389621671219719 0.126927385669871 0.02216771361411158 -0.009458589779245083 0.0008805050357919422 0.1931705755090012 0.02205151294136904
30 0.1301406800735246 0.02605056267247389 -0.006741346320964801 0.001707184872610663 -0.0008167547187432689 -0.003918181204865191 0.1327835774751269 0.02368803030475431 -0.008582246706392793 -0.00249004420417514 0.1724761431337057 0.02247832652376188
40 0.1324111776577749 0.02862050661842974 -0.007923697186004731 0.00101806363318069 0.0002442150116450054 -0.002007738972253174 0.1336419460885539 0.02764422365526077 -0.005236948160497959 -0.003610965242116775 0.1626731543779772 0.02315984810236611
50 0.1348094105485098 0.03253741781276315 -0.009306708430744144 -0.0001800994056334653 0.001083135439845065 -0.001895768115177686 0.1359308472441245 0.03129165520476603 -0.004402574360836747 -0.003755269153386805 0.1571136176310887 0.02456342340006756
60 0.1348954921254945 0.03443551898241553 -0.00948507308490971 -0.0002555581360095069 0.0009691896403450163 -0.003962517356935398 0.1364339590396744 0.03182887924257472 -0.005579644466938654 -0.003991851784054894 0.1536616296167951 0.02574294707355903
70 0.1351305705416853 0.03531390045056092 -0.009344779736692139 0.0001683484718364647 0.0005062556240828112 -0.005601280581736021 0.1365500331802171 0.03183043747167257 -0.005447337871826877 -0.004209126731815597 0.1512067001531453 0.02661207062704394
80 0.1348117588895822 0.03553130336229574 -0.0088918037927272 -0.0002590810367972022 0.0005387196726685686 -0.005136629545742552 0.136209008947323 0.03203089037783679 -0.005153678918325719 -0.004359021999906038 0.1493503498345723 0.02728341133157191
90 0.1351855466775315 0.03523558607589059 -0.008644513913631224 -0.0007228873486201408 0.0007305705821952232 -0.003514751509612785 0.1367837632278776 0.03211498781583939 -0.002878347527661156 -0.004313941960530396 0.147915560406113 0.02780470764435776
100 0.136116064689325 0.03599048577551045 -0.008362986412977471 -0.000682254037475223 0.0006209178480037228 -0.003475532808768488 0.1376083503161867 0.03315507550205745 -0.002483584006497331 -0.004126534086653039 0.1468505567661956 0.02829076073433477
110 0.1367305724055166 0.03607596945489535 -0.008060542788239035 -0.0005228768505336914 0.0004401557550222401 -0.003341749504015233 0.1380963756080917 0.03357887747328123 -0.002936187693686329 -0.005463736732985656 0.1337464945809849 0.02961180492516143
120 0.1368462171042585 0.03542213417413564 -0.007567052680964791 -0.0007150924727511227 0.0004178854034571232 -0.00248606060039469 0.138142313469896 0.03299604610036105 -0.002815662151100163 -0.004870324779392636 0.1358270756029848 0.03056009201739177
130 0.1357293401045712 0.03457113471104668 -0.006410585369144756 -0.001149515188112205 0.0004446645217658068 -0.001511084004967681 0.1370172028372038 0.03230001726624744 -0.002281430070133471 -0.004209240252335349 0.1364784474165407 0.03149101562087754
140 0.1351376410774048 0.03363993428673415 -0.005676181229971773 -0.0008733324043379961 0.0001425944533001126 0.0001749036081137374 0.1364267918992779 0.03137902200114969 -0.000221193140704456 -0.003632050748535844 0.1368024044963813 0.03214769820525195
150 0.134900709296546 0.03296032008240046 -0.005206907480221 -0.0005811751674928025 -4.407008728471464e-05 0.0008673416765258928 0.1362548542370121 0.03057402595850045 0.00122190438970927 -0.003133834190621825 0.1369537312385531 0.03222430738927992
160 0.1347016622354481 0.03251256972410327 -0.004867809571398081 -0.0003198451155052019 -0.0001292410333254862 0.0007555599044402789 0.1361032080929078 0.02992124494647901 0.001641736238835715 -0.002457131719242672 0.1369281908299956 0.03208011177430194
170 0.1351131645727212 0.03305827557628443 -0.004897870191305601 -0.0005223886333826692 0.000105364038699173 -0.0007043303070708144 0.1364838854741018 0.03037244847985692 0.0001987815037324554 -0.001809671525748928 0.1369057966071566 0.03190097265502659
180 0.1359666830615574 0.03380906991378808 -0.005157222199540368 -0.0009390204804706108 0.0003722562595756854 -0.002180832249403671 0.1372971638966373 0.0311339501375234 -0.00156968267013948 -0.001353199682813768 0.1369608818348881 0.03178567363916079
190 0.1370080307451117 0.03506939280991998 -0.005596099927150209 -0.001478143254816527 0.0006174661766469032 -0.002191294728166987 0.1383622651295536 0.03230413561584736 -0.002069829160006163 -0.001151648857294096 0.1371034134287357 0.03175736531742539
200 0.1382779873626089 0.03640708373092449 -0.006179679265920196 -0.001944158900983206 0.0007267992928965031 -0.001839412487987266 0.1396932249052916 0.03356916394741085 -0.002004005254314366 -0.001110521089490592 0.1372853400994788 0.031799442719087
210 0.1392638899292101 0.03652581525776686 -0.006673186586401775 -0.002008897150729638 0.0007231607117586551 -0.002006731657100171 0.1407579766818638 0.03352024369414163 -0.00176218334751427 -0.001024664714155987 0.137529500716147 0.03180652860114462
220 0.1393417510532065 0.03674151830620385 -0.006970781761510584 -0.001656953789006572 0.0006220783642946571 -0.001664280946101852 0.1409409770303593 0.03345260871870761 -0.0006472684685804356 -0.0008562959488468685 0.1378006546329154 0.03182808618016612
230 0.1388043501179792 0.03664640713223096 -0.00697323495886466 -0.001213482702462764 0.0003784887699921312 -0.001178642140328889 0.1405505200040395 0.03312742544970581 0.0003732019129212274 -0.0005958878918775434 0.1381164813276536 0.03189340361707415
240 0.138897452806166 0.03697720143675828 -0.006836211818202251 -0.0009396352397890474 0.0001845690113494567 -0.001061451650971502 0.1407363377160424 0.0334794959998082 0.0003954472777045354 -0.0004295338952655981 0.1385205835690957 0.03203543270259661
250 0.1397264054361899 0.03824383107541632 -0.006813779402806276 -0.0007311459086301612 8.726535851618222e-05 -0.000911524381864696 0.1415285023660714 0.03500957128497182 -8.296265517194211e-05 -0.0004811436940500926 0.1390011787257303 0.03237108809604865
260 0.1401542917248097 0.03868904998813746 -0.006624960218533084 -0.0003660069852539131 -0.0001193265992976306 -0.0003454836931584063 0.1418734569267737 0.0356966210546189 2.411806879334987e-05 -0.0006492403220992716 0.1395617183013685 0.03289999572730763
270 0.1407902835047054 0.03882676159223591 -0.006429528909871259 -0.0001710947785142903 -0.0001284943591115334 -0.0004480725911000092 0.1424989893469071 0.0358891991182636 -0.0003267428176489446 -0.0007534577735645895 0.1401452674794959 0.03348078956113004
280 0.1411732595228615 0.03798093985986969 -0.00604656501387089 -0.0001875454657526579 -0.0001058270699878856 -0.0004059967097931899 0.1428977430241826 0.03497994630491782 -0.0005236234312570328 -0.0007191929844687403 0.1407492177437064 0.03394805873107162
290 0.1406569528658997 0.03598961327601786 -0.005162768063232762 -0.0001515740002914809 -0.0001413601095617084 1.632824302584053e-05 0.1423542028548498 0.03299227643054819 -0.000289662850313615 -0.0005631587210399009 0.1412114948046764 0.03416842519816623
300 0.1407989250105261 0.0348219986440978 -0.004469800109895099 -8.341822162354157e-05 -0.000174134706326552 0.0001291113890736694 0.1424593069990137 0.0318862553302267 -0.0003803518677407341 -0.0003938971101765878 0.1415526197980545 0.03409019188166584
310 0.1419908464164644 0.03415029488096746 -0.004341324306378479 -5.456620030172329e-06 -0.0002326526980641868 -5.27996684372453e-05 0.1436663749179889 0.03120297822612743 -0.0007192930667389224 -0.0002541448259455901 0.1418198928116508 0.03388033523554476
320 0.142995203754748 0.03390134532821838 -0.004481386604512808 -1.131991751393073e-05 -0.0002148993982315164 -0.0003632191250479972 0.1447576279269261 0.03080595173200578 -0.001059357715096704 -0.0002282309510990452 0.1421619971235565 0.03362594134658808
330 0.1432008873948722 0.03437731953567716 -0.004898555387346063 -2.094721744298804e-05 -0.0001873617570264967 -8.859426586291163e-05 0.1450856618120958 0.03108054415524324 -0.0007073847970114427 -0.0003199097755471184 0.1425789718965929 0.03338921647305495
