"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1743495516954355 0.06314996274694601 -0.02438768162719035 3.499871809187328e-05 -7.598594833584048e-05 0.0001323513208853711 0.181612738628067 0.05761140738218581 0.0001615217336331186 -0.02583338423818418 2.77603625424146e-05 -7.233108471363413e-05
20 0.2037646961623202 0.06946349411693384 -0.02006563269913699 8.462800765498597e-05 -4.878946164254352e-05 0.0007903699628507038 0.2103812372732472 0.0662645741737088 0.000753139081039398 -0.02140105925454001 7.936151974013433e-05 -5.037504107433294e-05
30 0.2120928925273642 0.07135652609364691 -0.01951835148198563 2.938540667746508e-05 0.000148398603042141 0.001001502122202613 0.2187953618891941 0.06807922581922179 0.0008169917213619918 -0.02133989136176315 2.222052141846513e-05 0.0001240391622699643
40 0.2150500210411581 0.07044489405604035 -0.01836042759192677 -3.155588993362643e-05 4.832000947322847e-05 0.001126914140077394 0.2219262339824147 0.06782371821574831 0.001365448270238382 -0.01999325443857366 -0.0001110714615943554 9.186580592988868e-05
50 0.2176832743128782 0.07598055843815486 -0.01811568861865313 2.610657909114901e-05 -6.892345248513704e-05 0.0003071026627426604 0.224302673383765 0.0737150437547108 0.0006609277601504969 -0.0197106424387181 -9.244490856365112e-05 3.953047209977488e-06
60 0.2182917202052303 0.07738443015047208 -0.01699297527141399 4.793626073558153e-06 2.754173494766286e-05 -0.0007682791435086817 0.2247630289291134 0.07533434794015194 -0.0004146659809814269 -0.01846316615094559 -9.125371782948378e-05 0.0001014821212498903
70 0.2166044014130533 0.07830125779209461 -0.01582574103249126 9.371063613519814e-05 -7.966029286542178e-05 -0.0008390829266311256 0.2232235754677397 0.0771874525114209 -0.0005825850611091551 -0.01690071511983862 3.924303253235117e-05 -2.694283805544108e-05
80 0.2147402225143961 0.0810991324688419 -0.01479619013896768 0.0002115181324844385 -0.0002230580449337718 -0.0005493291884853831 0.2214116963052021 0.0805231320395083 -0.0004242614452744667 -0.01575643743959782 0.0001886214026564154 -0.0001940217381687808
90 0.2132881734173688 0.08127900523828403 -0.01393905709424584 0.0002487341813836879 -0.0002315534467312079 0.0001818861714737375 0.2199969008876272 0.08083603046769333 0.0002371910401283815 -0.01494092641069336 0.0002446190075334941 -0.0002189181885847376
100 0.2122673369565168 0.0803112804441003 -0.01355739775679756 0.0002804639568129085 -0.0002486260458978839 0.0008494327170786718 0.2190415666614598 0.08005462469036273 0.0009492805140044441 -0.01451754464803996 0.0002539069262774446 -0.0002284031263222137
110 0.2109864630603254 0.07917680063133449 -0.01347176675113364 0.000284934158662675 -0.0002316935155775662 0.001213281100264884 0.2177693599563676 0.07913841848890621 0.001376124919527036 -0.0143427013399077 0.000227838982791042 -0.0001970504128445635
120 0.2092270953788996 0.07808547444192052 -0.01348942908405788 0.0002811528841822414 -0.0002188853328649291 0.001322855620892652 0.2159599294271594 0.07813557509852882 0.001498314204749591 -0.01432724225762908 0.0002123426786788999 -0.0001790095077249744
130 0.2073869576464206 0.07736484541097755 -0.01350451629763303 0.0002787301073523959 -0.0002170171162743789 0.001421518471641748 0.2140716244690488 0.07743884585635086 0.001602951690047497 -0.01434156705303325 0.0002037875579644195 -0.0001740113827473329
140 0.205841307892387 0.07682788367863434 -0.01347380443523496 0.0002590045991829733 -0.0001647801766005408 0.001588382719661164 0.2125110249822912 0.07693760449162822 0.001769069235178693 -0.01430606232999594 0.0001836766161266953 -0.0001217707754950066
150 0.2046655175193982 0.07633065427620686 -0.01342592618699149 0.0002482009620181433 -0.0001120110021929557 0.001799446398025849 0.2113378723109929 0.07648464194592754 0.001957347136949667 -0.01424840145401956 0.0001860925988996578 -7.575413605672521e-05
160 0.2037303446894838 0.07591271041269318 -0.01337417183008626 0.0002632553267559841 -9.583339203056348e-05 0.002022559294839336 0.2104060330911207 0.07607931977984846 0.002151899663084754 -0.01419939975582775 0.0002201631162670381 -6.878770092622044e-05
