beta 	CdA		ClA		CsA			CrAl		CpAl		CyAl
----	---		---		----		----		----		----
0	 	0.227	0.0476	-0.00458	0.000592	0.0164		-0.00150
15	 	0.233	0.0302	0.00695		-0.00737	0.0174		-0.00621
30	 	0.253	0.0159	0.0229		-0.0160		0.0194		-0.00939
45	 	0.263	0.0227	0.0325		-0.0222		0.0159		-0.0166
60	 	0.259	0.0180	0.0349		-0.0194		0.0111		-0.0150
70		0.253	0.0210	0.0288		-0.0183		0.00492		-0.0160
75	 	0.254	0.0171	0.0257		-0.0162		0.00391		-0.0161
80		0.256	0.0199	0.0225		-0.0153		0.00294		-0.0170
90	 	0.253	0.0220	0.0138		-0.0100		0.00141		-0.0153
