beta 	CdA		ClA		CsA			CrAl		CpAl		CyAl
----	---		---		----		----		----		----
0	 	0.241	0.0338	-0.00411	-0.000143	0.0208		-0.000833
15	 	0.248	0.0284	0.00554		-0.00823	0.0201		-0.00635
30	 	0.265	0.0211	0.0147		-0.0135		0.0197		-0.0107
45	 	0.269	0.0170	0.0372		-0.0123		0.0156		-0.0151
60	 	0.271	0.0208	0.0317		-0.0116		0.0115		-0.0161
70		0.261	0.0178	0.0169		-0.0124		0.00518		-0.0183
75	 	0.262	0.00886	0.0171		-0.0101		0.00400		-0.0181
80		0.265	0.0123	0.0170		-0.00859	0.00109		-0.0183
90	 	0.260	0.00891	0.0188		-0.00317	-0.00121	-0.0164
