Config1,44.9,-0.1,20.3,-23.7,57.2,14,67.3,-5.3,85.1,12.5,39.5,38.6,-1.7,1.1,-0,0,0,33.4,-3.6,22.2,-39.6,0,0
Config2,34.4,-3.1,-27.2,-19.7,44.2,14.1,59.8,-11.1,43.6,5.9,22.1,32.6,28.1,-16.4,-20.9,0,0,7.3,24.4,-22.4,-2.4,0,0
Config3,-10.4,-11.2,27.8,-30,11.7,-17.3,47.1,-53.4,119.4,-18.8,41.2,12.8,30.5,-18.6,-48.5,0,0,2.7,24,23.1,-16.3,0,0
Config4,2.3,10.8,-17.1,-38.9,31.5,12.2,64.9,0.5,39.4,14.7,67.9,14.5,26.6,22.9,-40.3,0,0,35.1,-1.9,-12.4,-27.5,0,0
Config5,39.9,13.3,2.3,-48.1,55.1,22.3,67.9,2.4,42.4,-7.2,46.7,15,16.3,-12.8,-18.5,0,0,28.5,34.6,9.9,-26.9,0,0
Config6,3.4,-2.1,-33.1,-22.6,103.6,-23,16.4,1.3,60.8,4.9,54,11.4,29.4,-1.5,-0.3,0,0,-6.2,12.7,6.3,-34.6,0,0
Config7,-12.3,-4.7,20.2,-23.8,120.4,21.7,63.5,-61.5,63.4,64,32.6,31.2,7.4,-18.3,-43.3,0,0,12.7,9.5,-14.9,-9.7,0,0
Config8,24.9,-4.6,-11.4,-13,108.4,-9.3,41.4,-10,36,51.1,17.9,-5.2,19,-24.6,-21.5,0,0,36.1,-5,12.5,-31.3,0,0
Config9,28,-7,3.3,-57.2,11.6,29.1,21.4,-1.2,58.5,57.7,19.2,14.7,11,-24,-5.5,0,0,19,4.6,22.1,-35.4,0,0
Config10,-8.5,-19,-3.9,7.2,26,-12.1,20.1,-43.2,66.1,37.4,15.6,-2.5,33.4,9.1,-40.7,0,0,38.2,28.6,-1.7,-10.5,0,0
Config11,9,-12.2,15.5,-27.8,57.1,47,30,-32.8,52,49.6,34.1,33.4,37.3,12.1,-33.8,0,0,33.8,-1.8,-13.7,-48.5,0,0
Config12,-12.9,-3.3,-21.9,-59.9,83.8,2.5,24.8,-52.2,57.8,55.3,45.5,30.2,41.6,-7.7,-47.7,0,0,5.5,30.6,19,-11.2,0,0
Config13,29.3,-8.8,-33.2,-62.1,99.4,53.4,17.1,-8.2,7.9,-8.2,67.9,32.7,10.1,14.1,-39.2,0,0,0.6,11.2,14,-40.5,0,0
Config14,23.8,-11.2,-6.9,-70.2,9.8,4.8,31.2,-0.2,19.3,44.8,66.6,1.6,42,-11.1,-20.1,0,0,-17.1,37.4,-33.9,-45.1,0,0
Config15,21.3,-4.5,-25.8,-9.1,117.6,52.1,59.9,-41,12.9,13,67.9,17.3,7.4,21.4,-27.8,0,0,35.3,-2.3,23.3,-18.2,0,0
Config16,-4.4,14.6,-20.4,-17,73.8,52.6,61,-44,29.1,9.8,13.5,28,31.2,-30.5,-23.9,0,0,32.1,0.9,6.1,-34.4,0,0
Config17,16.6,5.7,26.8,-1.8,6.2,57.1,30.9,-25.9,104.1,-14.8,67.9,10.8,41.5,-25.8,-34.4,0,0,39.1,43.3,-1.1,-22.5,0,0
Config18,-8.9,-4.1,-7.3,3.8,89.9,4.6,67.9,-34.1,22.5,-19.1,55.3,6.4,29.8,-26.1,-32.9,0,0,2,41.9,-7.2,-39.1,0,0
Config19,8.8,1.7,25.4,-20.9,42.5,-17.4,67.9,-23.5,118.4,-27.3,14.8,22.9,39.6,-33.2,-19.7,0,0,15.8,33.6,13.1,-26,0,0
Config20,5.8,-2.9,27.6,-48.4,43.7,2.9,67.9,-60.6,76.1,58.3,29.4,12.9,34.2,19.8,-34.7,0,0,38.2,0.1,-6.8,-21.2,0,0
Config21,9,-5.5,21.5,-67.3,10.2,10,47.5,-10.1,18.8,17.1,67.9,0.9,13.8,-30.2,-12.8,0,0,-9.3,12.4,17.2,-45.5,0,0
Config22,35.5,3.9,21.2,0.7,32.4,42.7,44.9,-71.2,79.5,-18,44.9,-0.2,12.9,29.6,-2.8,0,0,10.5,16,-21.2,-20.8,0,0
Config23,-12.5,5.7,30.5,-8.9,31.9,1.2,67.9,-67,40.5,-3.9,67.9,-3.1,10.9,29.6,-37.9,0,0,10.1,8,24,-17,0,0
Config24,-5.2,12.8,1.4,-52,64.1,0.5,39.4,-26.6,98,6.3,67.9,27.2,-0.1,31.7,-15,0,0,26,23.5,-4.5,-42.1,0,0
Config25,42.5,11.5,18.1,-30,66.5,58.4,23.3,-53.2,57.5,10.6,43.4,20.8,12,22.5,-48.4,0,0,-0.3,40.2,-28.9,-0.9,0,0
Config26,5.7,-4.3,31.2,-64.4,115.7,-4.5,12,-31.4,85.6,32,17.8,19.4,-7.4,-34.3,-40.6,0,0,30.3,20.1,-28.1,-26.5,0,0
Config27,-6.6,2.1,14.3,1.7,52.8,49.5,22.6,-15.4,53.1,28.8,67.9,9.4,20.7,-11.6,-26.8,0,0,34.8,10.7,7.1,-20.3,0,0
Config28,40.7,11.8,34.7,-57.5,18.5,55.4,12.2,-56.9,70.1,54.2,49.3,4.3,39.2,-34.9,-44.9,0,0,-5.8,13.5,25.5,-13.4,0,0
Config29,23.8,9.9,12.3,-45,83.9,-22.9,25.3,-27.3,104.6,-27.8,27.9,-0.4,14.1,26,-1.8,0,0,0.1,32.5,-5.3,-19.6,0,0
Config30,38.6,5.9,-17.2,-33.2,119.5,29.5,39.1,0.3,37.7,-7.9,53,11,20.1,-9,-45.5,0,0,36.1,24,19.6,-6.7,0,0
Config31,3.3,-12,19.2,-53.3,13.8,24.9,17.4,-19.7,24.5,-25.9,58.5,0.2,30,-11.8,-24.3,0,0,-10.9,20.7,-22,-13.8,0,0
Config32,36.8,10.9,-13.5,1.3,44.7,47.4,24.1,-70,14,-25.3,51.8,27.9,2.4,-19.9,-8.1,0,0,28.8,3,3,-4.4,0,0
