"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cx-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.2139431277677199 0.01459044056455547 0.02089589854435709 -0.009079704738904532 -0.004128552503688143 0.0166511073313684
20 0.238607394824768 0.002520968898341982 -0.008644364622731594 -0.01260424858307878 -0.002747764442851493 0.01772302602308748
30 0.2405638809206668 -0.002436460532013523 -0.004212044183695435 -0.01289464391519394 -0.003581711967698947 0.01719975364590682
40 0.2414423562326556 -0.001445623964664991 -0.004986912035710014 -0.01285660374451664 -0.003765016661762796 0.01587444818024006
50 0.2401436739052216 -0.005261839325777124 -0.0006382013768940875 -0.01162733526464098 -0.003616316900561807 0.01335088687048772
60 0.2393535391555794 -0.006767161326757743 -0.0004893586594322001 -0.01124548024098747 -0.003691557155767263 0.01263518376059788
70 0.2387498932513089 -0.00763016665611324 -0.001356051237395645 -0.01068456377189156 -0.003664830897562318 0.01252752838583204
80 0.2383334134524867 -0.007415962929016934 -0.00259459130796233 -0.01041110002026984 -0.003686149327468682 0.01292398245277077
90 0.2387523074256878 -0.007196168697249918 -0.002439925743225233 -0.01040836524731226 -0.003728933992452011 0.01304478305566625
100 0.239479246190373 -0.008259227722176748 -0.001726523984312263 -0.0104765360773914 -0.003813460554405614 0.01301578425477576
110 0.2394590928775011 -0.008383857567480404 -0.00126548450353972 -0.01041454787794615 -0.003884439091072822 0.01302869722715908
120 0.239297838428141 -0.00788546965751359 -0.0009059363236634619 -0.01031437239463062 -0.003901349813041286 0.01301383734475729
130 0.2394461000010117 -0.007614449495506769 -0.0009443735499301809 -0.01031388186282028 -0.003923520983979054 0.0130302392925486
140 0.239496763605962 -0.007484193942221815 -0.0008855856844300386 -0.01033460811392095 -0.003944841880968615 0.01304024143940283
150 0.2395482253349098 -0.007559858325360703 -0.000618403182879842 -0.01034268997981622 -0.003952144727519917 0.01300043372484316
160 0.2394980307084612 -0.007579418089422476 -0.0005219963952325451 -0.01032498591968998 -0.003951870953711068 0.01297728885092717
170 0.2394093066394381 -0.007417375928970434 -0.0005477560076495319 -0.0103106597786815 -0.003950486495574546 0.01298245022135312
180 0.2394560892059269 -0.007418380601704183 -0.0005263369442071739 -0.01032498942072108 -0.003951137742491551 0.01298170637244943
190 0.2395091436171684 -0.007546172946635453 -0.0004899193428607267 -0.01033502109988937 -0.003955812133495188 0.01297702310704186
200 0.239479006769174 -0.007562522167252144 -0.000454613814860201 -0.01032391574998494 -0.003956408952759894 0.01297375680595594
210 0.2394576701979254 -0.007536949882294325 -0.0004469262090630826 -0.01031840593909009 -0.003954999055766011 0.01297350430515412
220 0.2394675958503111 -0.007528024790013458 -0.0004692236058181202 -0.01032064840420791 -0.003955656061248223 0.01297886798910292
230 0.2394790291125006 -0.007514266621723093 -0.0004745902493341843 -0.01032360592847885 -0.003957189065492937 0.01298220513065908
240 0.2394964711625153 -0.007545252192192702 -0.0004584781599492305 -0.01032934727053885 -0.003958132062214037 0.0129795954030648
250 0.2394843020633663 -0.00755113297458391 -0.0004509578025456301 -0.01032580628830953 -0.003958301497119824 0.0129777257422897
260 0.2394692524122915 -0.007507820883915209 -0.0004624129694196281 -0.01032138668699496 -0.003956794741371924 0.01297968536905823
270 0.2394835516883789 -0.007517005676489064 -0.0004689734289181786 -0.01032749489702808 -0.00395739547729981 0.01298058144707051
280 0.2394906507780212 -0.007535344738229197 -0.000462613022292722 -0.01032856950190876 -0.003958099211302804 0.01297961375722615
290 0.2394835038235393 -0.00752241936791893 -0.0004603767450191762 -0.01032563951520899 -0.003957512796369749 0.01297881056233172
300 0.2394868750857922 -0.007534517858818151 -0.0004605421979888449 -0.01032840314231782 -0.003957628012545999 0.01297870253781015
310 0.2394818909733907 -0.007531124695663732 -0.0004628988469043328 -0.01032598676682127 -0.003957766200032774 0.01297946491663733
320 0.2394802315829869 -0.007512992629468539 -0.0004668578333972144 -0.01032458407831296 -0.003957241785828621 0.01298041000379247
330 0.2394898687380514 -0.0075378833058683 -0.0004641622773344268 -0.01032870009066401 -0.003958026793080548 0.01297979052403914
340 0.2394827413894562 -0.007536172277898621 -0.0004593858400276444 -0.01032549006818289 -0.003958032711718445 0.01297940107810547
350 0.2394794561358739 -0.007517496171744217 -0.0004648477149748412 -0.01032416798255912 -0.003957173404661699 0.01297990834797343
360 0.23948832751671 -0.007535575165246669 -0.0004631632885322773 -0.01032869775886909 -0.003957975880162222 0.01297950281748242
370 0.2394851471118614 -0.007532421286312181 -0.0004617029203550257 -0.01032638182029907 -0.003957824205902875 0.01297940359042893
380 0.2394826274350662 -0.007519120070552765 -0.0004649074439906966 -0.0103257686350118 -0.003957447565445775 0.01297984971072456
390 0.2394892432974297 -0.007538336357278905 -0.0004638889457071962 -0.01032887084128386 -0.003957998686126081 0.01297961864106331
400 0.2394806464010945 -0.007526842862045696 -0.0004621896521555001 -0.0103248610617898 -0.003957844735147396 0.01297975063322686
410 0.2394819092643569 -0.007518295642827778 -0.0004663688401613137 -0.01032511249457421 -0.00395722383685012 0.01298018430029068
420 0.2394882765277496 -0.007540698026062407 -0.0004627876922814595 -0.01032851384322355 -0.003958238364843749 0.01297959552831286
430 0.2394822830674582 -0.007527695209864594 -0.0004613763968288227 -0.01032499958794897 -0.003957633694887457 0.0129795073539677
440 0.2394831558111628 -0.007520652073357586 -0.0004645809297220988 -0.01032607151253637 -0.003957389955369497 0.01297951519149547
450 0.2394901169748104 -0.007541349828427369 -0.0004621619565163796 -0.01032927904113962 -0.003958073286785333 0.01297922653360798
460 0.2394814772427041 -0.007524572400310586 -0.0004633324115614051 -0.01032509367534874 -0.003957749914341906 0.01297976780143087
470 0.2394838209660934 -0.007520110981444993 -0.0004661154920662883 -0.01032622506587067 -0.003957353658949315 0.01298004672482848
480 0.2394874867529442 -0.007540656639142098 -0.000462502007734582 -0.01032811606583673 -0.003958230879123897 0.01297944710017691
490 0.2394798265626823 -0.007522285126646033 -0.00046266943592475 -0.01032410370195139 -0.003957538509025166 0.0129798837997782
500 0.2394845272980076 -0.007523921476170134 -0.0004661112025779666 -0.01032651530648115 -0.00395747317264577 0.01297994954774298
510 0.239488294956245 -0.007541003377824469 -0.0004603234078392835 -0.01032836496795813 -0.003958143290418946 0.01297901376785949
520 0.2394815504862161 -0.007522263108315153 -0.0004629298340063536 -0.0103248762318482 -0.003957488079627271 0.0129794658030593
530 0.2394860968700459 -0.007525438259548954 -0.0004655484830551812 -0.01032758973343471 -0.003957559758815308 0.01297983851177095
540 0.2394875842341224 -0.007539721708269688 -0.0004627961015703219 -0.01032801143628498 -0.00395816164775379 0.01297950383447762
550 0.2394790937103992 -0.007517886574195731 -0.0004637277542880098 -0.01032395794516926 -0.003957466560983583 0.01297996613325021
560 0.2394858853030398 -0.007527808260598181 -0.000466272372659141 -0.01032710834299699 -0.003957586114151014 0.01298008315969768
