"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cx-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.2619115339330294 -0.02451069648283948 -0.03064315950091934 0.000344282689514674 -0.005659371910560635 0.01308041296180828
20 0.2483602249206929 -0.003457484517097765 0.01310401674700952 -0.001098845661222053 -0.008300293583390799 0.01959785808513453
30 0.2453497200319895 0.002285156511452035 0.001107491021821479 -0.001027415582900551 -0.0076181324334772 0.02013674610525542
40 0.2485543443465624 0.004958332743122953 0.003866461352878434 -0.0003363495092845211 -0.007016757416495844 0.02058082670930168
50 0.2482098571431938 0.004503733873448894 0.008814851105909401 -0.0001905006992357095 -0.007044640067715335 0.01999886317599402
60 0.2476823561798108 0.003624490355802759 0.0091508728332727 -0.0003192379444558831 -0.007067883765835422 0.01995457606098715
70 0.2476408351946313 0.003127796377071726 0.009576340314297754 -0.0004607991939350599 -0.007160305018233702 0.01998561666138938
80 0.2478539985765259 0.002861731013514883 0.009309687912426123 -0.0005273149650171867 -0.007243440714654881 0.020007053928247
90 0.2481347486122267 0.002683118009440197 0.009018527199379917 -0.000530075163570602 -0.007321887844512574 0.02001446007451812
100 0.2482108528537268 0.002555979524613103 0.008883084979291576 -0.0005080028402622088 -0.007373777736904843 0.01999936289702156
110 0.2482071482982956 0.002453801585165654 0.008744232952582804 -0.0004860962322261377 -0.007378886868439724 0.0200036141007644
120 0.2481855633230827 0.002375519639822831 0.008665651485910706 -0.0004612652065999888 -0.007378257167822019 0.02001220465645493
130 0.2481512610201533 0.0023434890435632 0.008608135182549177 -0.0004322386855279872 -0.007378355950641711 0.02001224794392687
140 0.248133716569089 0.002344291429925785 0.008564146732376231 -0.0004079829545356593 -0.007375320440939884 0.02000714203473843
150 0.2481384461345202 0.00234620726359765 0.008514077403564533 -0.000396155784005485 -0.007369102887088406 0.02000081292889688
160 0.248156189312923 0.002342319905365956 0.008448034576207892 -0.0003936301582234524 -0.007363574587473982 0.01999968850895438
170 0.2481575874538633 0.002333919034791723 0.008392751178339692 -0.0003945448027935758 -0.007364937574993009 0.02000357187156517
180 0.2481480345746072 0.002325482923916726 0.008343046273357111 -0.0003964049798533601 -0.007368397457859447 0.02001087162374354
190 0.2481390414391051 0.002315539491174471 0.008289523413881497 -0.0003991866594759648 -0.007370597461049923 0.0200217590881845
200 0.2481273154585001 0.002303476449743327 0.008241020220724909 -0.0004009543997036218 -0.00737133454208577 0.02003412374178707
210 0.2481103444472452 0.002291286190794192 0.008194722890117714 -0.0004002698163402269 -0.007371505653742201 0.02004742068887615
220 0.2480914130467377 0.00227914755943556 0.00814570644415713 -0.0003976333664925015 -0.007371664832611998 0.0200619533494934
230 0.2480715057880079 0.002266330207949777 0.008098808097442029 -0.0003936923868353797 -0.007371888705662746 0.02007651154113607
240 0.2480514888522914 0.002253527075389706 0.008052613859060613 -0.00038951586439519 -0.007372103342019295 0.02009115259770398
250 0.2480312423567104 0.002240952929382981 0.008007876066387858 -0.0003853317484373511 -0.007372188841952411 0.0201055454638765
260 0.2480110723735008 0.002228613712863575 0.007962751165218433 -0.0003815153101177794 -0.007372131506968432 0.02012027488973243
270 0.2479905435995364 0.002215669507668997 0.007919205441966466 -0.0003780187291228707 -0.007372099026203944 0.02013503694428805
280 0.2479696794207707 0.002201202596190218 0.007878411022174684 -0.0003749341676433002 -0.007372325453011939 0.02014956714269667
290 0.2479491255499573 0.002187157960181991 0.007837121309189298 -0.0003720100107911701 -0.007372450062047392 0.02016443547337466
