"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 2.441646376509723e+24 -2.010896873543328e+24 -4.76070741918733e+24 -6.807501889241575e+23 7.068809231060105e+23 1.331516054924914e+24
20 -5.350161387760461e+88 -2.071045100602553e+89 1.494370865117468e+89 -1.983376135809462e+88 -3.08271342817478e+88 -5.423822709394109e+88
30 5.893287922896288e+86 1.298464539624914e+87 9.918333980385524e+87 2.016725601727793e+86 -1.619644875957028e+87 -6.102973680577087e+86
40 8.030915694721768e+86 1.325053332426364e+85 4.475353899212766e+86 -1.089843035621307e+86 6.674129938402115e+85 2.447034007139876e+85
50 1.948566890724876e+86 -1.355954119194048e+86 -2.201207914772983e+85 -5.350541073989399e+85 4.993743027979236e+85 -1.742266032735254e+85
60 9.656880399661587e+84 -2.75149168779948e+85 5.055484450166464e+85 -2.020464222904766e+85 -2.188163636076529e+84 -4.700879986500941e+84
70 1.494675754926032e+85 -5.862549886163776e+84 -2.772524616977041e+85 -1.247043545427654e+85 -2.299561040545266e+84 5.18530937379263e+84
80 1.991430117460963e+85 2.571767283244246e+84 -3.195051902928962e+85 -3.753545309059141e+84 -4.360082149802642e+83 3.514862811234585e+84
90 2.001575452172471e+85 -5.036074947159356e+84 1.845834378698368e+84 2.289428390323942e+83 7.697140567331356e+83 2.907610055346829e+83
100 1.379343116949742e+85 -6.075815724021626e+84 1.384915333173326e+85 -1.656559709296464e+83 9.556151364153949e+83 1.592059175068065e+84
110 6.792232730016468e+84 -1.051585932406091e+84 6.775309138953154e+84 -7.404176324293533e+83 7.576618960891393e+82 1.265889980418285e+84
120 2.694871296894799e+84 -1.020449655063837e+84 1.953898419574157e+84 -9.409511330903653e+82 -4.421760127703098e+82 4.862080895514046e+83
130 3.018787843755727e+83 -1.789219414403297e+83 6.373513472085657e+82 3.399511568885789e+82 8.867566062678292e+82 1.800614983399013e+83
140 7.637000177679508e+82 -5.770679917663157e+82 -6.44640823471342e+83 1.476075653685718e+83 3.447165403035687e+81 -9.889592548671919e+82
150 -9.226647284600293e+82 -4.164693709688552e+83 -3.633452833786349e+83 -5.539226419829438e+82 3.693349007497052e+82 -3.214185215718589e+82
160 1.337472741258431e+83 -1.350685859617631e+83 -1.964570281678519e+83 -8.477028074789252e+82 8.258145921513404e+81 -6.722410717849725e+82
170 1.089533952358895e+83 -1.458700704590131e+83 5.734703026323557e+83 -8.396049858110521e+82 5.670173887475482e+81 -1.24999194763843e+83
180 1.85153996060963e+83 -2.281318968395895e+83 4.122299954041946e+83 -4.795489194797958e+82 3.265019747001376e+81 1.660398816592907e+82
190 9.683619950296702e+82 -2.771872550949055e+82 6.934689237908462e+82 -2.818039334884246e+82 -2.975037268602178e+80 5.411204312310296e+81
200 5.102775650125099e+81 1.2577161089313e+82 1.0955529539992e+83 4.938410922836611e+81 2.181303380512414e+80 -1.330867982752044e+82
210 3.028226714977749e+81 1.242736700540851e+82 6.975263144166606e+82 -3.764886006566624e+81 4.23562073696036e+80 -3.879089442466448e+81
220 1.123506230360595e+82 8.658425548480445e+81 1.708606344219986e+82 -7.970359644926369e+81 -6.124599035000552e+80 2.39376463155916e+81
230 6.8709105064344e+81 -9.976731265593337e+81 -3.759146762607928e+81 -4.129108258379014e+81 -5.770282527023119e+80 3.838057677188507e+81
240 3.809676121054368e+81 -7.721997598215531e+81 4.40919874050036e+81 -8.423014903682436e+80 -1.753486738755073e+80 -4.885644922584523e+80
250 -1.653697025750806e+81 -1.590535739300161e+81 6.153483842862626e+81 -3.083013421952414e+80 -1.656234870810346e+80 -6.245690036634039e+80
260 -7.47633972773445e+80 2.182625894763038e+81 4.537094756690174e+81 -5.10592266685968e+80 2.6965426856136e+79 -5.163705734998474e+80
270 -5.914623683452013e+80 2.919087874004799e+81 8.38922082509128e+81 -2.10660929840815e+80 2.441697211980204e+80 -1.028271236455691e+81
280 -1.601368843578697e+81 2.310093760645289e+81 7.283584443776735e+81 3.641503731191873e+80 1.553333474344864e+80 -5.680224868174845e+80
290 -1.160365362611247e+81 1.527880942621e+81 4.221688753250496e+81 4.726804011355618e+80 8.419325186822819e+79 -4.541608529024121e+80
300 -1.415342150962109e+81 8.904370467999096e+80 2.324317159855091e+81 3.502377983638105e+80 4.940333210805471e+79 -1.89593380142874e+80
310 -7.717242111696134e+80 1.635986112102805e+80 6.597261784360267e+80 1.097695177820326e+80 1.017395701169628e+79 -5.539171138817914e+79
320 -2.068403486177253e+80 9.519631662909414e+79 1.140088325837896e+80 4.634608412741072e+79 -9.833026946966824e+77 -6.716338806203255e+79
330 -1.956977546014214e+79 1.020470078995221e+80 6.727714163312062e+79 7.927348437858833e+78 2.114064260006519e+78 -4.140761537710545e+79
340 -5.947061305806392e+79 5.928522621210299e+79 1.366427432492978e+80 -4.620913909757688e+78 -3.255236437116912e+78 -1.001049154601175e+79
350 -3.930043634797609e+79 -2.720528215799801e+79 4.772295508232084e+79 -2.639343888757859e+78 -2.049013550187445e+78 -2.796930388039461e+78
360 -1.486701029333998e+78 -1.823974231555622e+79 -4.140262558691372e+78 -8.109369610207875e+77 -3.578118530461555e+77 7.4701587625731e+78
370 1.517683521012766e+79 -1.856219711938517e+79 -2.094404126258616e+79 -4.348422459387097e+78 -4.014798026539965e+77 5.952992119544007e+78
380 2.178297393778718e+79 -7.854006983508683e+78 -9.846998245517584e+78 -4.975333770221772e+78 -2.122918002531969e+77 2.08405281358595e+78
390 7.224994984887313e+78 -7.204449807458263e+78 1.273893640232331e+79 -7.092263803275021e+77 4.180961047701815e+77 -2.703335624528747e+77
400 9.746678519894246e+77 -4.138369297270007e+78 6.236229761497985e+78 -5.103824931211768e+77 3.908604197109885e+77 3.031617412879252e+76
410 -1.010910303535006e+78 3.833348603789935e+78 5.941977333379173e+78 -2.401729071415819e+77 4.636256182913571e+77 -7.897273494278451e+77
