nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -1.213313538E-02 -3.755936772E-02  3.741423190E-01  1.242249225E+00 
         2 -4.461109911E-03 -3.755936772E-02  3.741423190E-01  2.438807595E+00 
         3  4.002306311E-03 -3.755936772E-02  3.741423190E-01  3.418483087E+00 
         4  1.179050966E-02 -3.755936772E-02  3.741423190E-01 -2.427236529E-01 
         5  1.820851334E-02 -3.755710466E-02  3.741423190E-01 -3.712976860E+00 
         6 -1.843057583E-02 -3.753049112E-02  3.741423190E-01  1.421217855E+00 
         7  2.348269258E-02 -3.691110737E-02  3.741423190E-01 -2.206170707E+01 
         8 -2.366182124E-02 -3.683490565E-02  3.741423190E-01 -2.160407597E+01 
         9  2.775441468E-02 -3.445547471E-02  3.741423190E-01 -7.950477472E+01 
        10 -2.789285722E-02 -3.431698064E-02  3.741423190E-01 -7.804706504E+01 
        11  3.027720633E-02 -3.021492770E-02  3.741423190E-01 -9.205655916E+01 
        12 -3.035328468E-02 -3.002863676E-02  3.741423190E-01 -6.016361803E+01 
        13  3.097520270E-02 -2.513744096E-02  3.741423190E-01 -3.073150842E+01 
        14 -3.099999949E-02 -2.493629265E-02  3.741423190E-01  6.173564470E+00 
        15  3.099999949E-02 -1.971653261E-02  3.741423190E-01  1.238502923E+01 
        16 -3.099999949E-02 -1.949997438E-02  3.741423190E-01  3.825205365E+01 
        17  3.099999949E-02 -1.426759755E-02  3.741423190E-01  3.049646324E+01 
        18 -3.099999949E-02 -1.405705713E-02  3.741423190E-01  4.599691985E+01 
        19  3.099999949E-02 -8.997397993E-03  3.741423190E-01  3.564099776E+01 
        20 -3.097547543E-02 -8.802094841E-03  3.741423190E-01  3.771290275E+01 
        21  3.035430038E-02 -3.993118617E-03  3.741423190E-01  3.780246723E+01 
        22 -3.027840875E-02 -3.807833988E-03  3.741423190E-01  1.438339949E+01 
        23  2.789598205E-02  2.949618051E-04  3.741423190E-01  4.104167402E+01 
        24 -2.775616749E-02  4.349721436E-04  3.741423190E-01  1.659154519E+01 
        25  2.366797347E-02  2.814560625E-03  3.741423190E-01  5.706330664E+01 
        26 -2.348172206E-02  2.892568209E-03  3.741423190E-01  5.429310465E+01 
        27  1.842737395E-02  3.512482534E-03  3.741423190E-01  7.713818821E+01 
        28 -1.821417401E-02  3.538974926E-03  3.741423190E-01  6.256055359E+01 
        29 -1.183646113E-02  3.540633712E-03  3.741423190E-01  4.954475115E+01 
        30 -4.070833253E-03  3.540633712E-03  3.741423190E-01  5.343928703E+01 
        31  4.406269055E-03  3.540633712E-03  3.741423190E-01  6.710124932E+01 
        32  1.210907133E-02  3.540633712E-03  3.741423190E-01  7.867982687E+01 
        33  2.780358359E-02 -3.450504232E-02  3.748182493E-01 -7.274197434E+01 
        34 -2.366102674E-02 -3.692316291E-02  3.750260403E-01 -1.310617402E+01 
        35 -3.035317033E-02 -3.818464129E-03  3.753475706E-01  8.164286228E+00 
        36 -3.098394822E-02 -8.835995560E-03  3.753641138E-01  2.070080257E+01 
        37  2.365837284E-02  2.906768637E-03  3.754211366E-01  6.801240956E+01 
        38 -3.099999949E-02 -1.406318223E-02  3.754376091E-01  2.841648122E+01 
        39  3.098386847E-02 -2.510321852E-02  3.755300412E-01 -3.405099918E+01 
        40  3.044085322E-02 -4.001502362E-03  3.755545373E-01  2.964455841E+01 
        41  4.404408786E-03  3.540633712E-03  3.755941948E-01  6.856056555E+01 
        42  3.099999949E-02 -1.427325749E-02  3.756175651E-01  1.721105316E+01 
        43 -1.212386955E-02 -3.755936772E-02  3.756260409E-01  2.985613015E+00 
        44 -2.346963490E-02  2.972318759E-03  3.756289478E-01  5.749005623E+01 
        45 -4.069300241E-03  3.540633712E-03  3.756292656E-01  5.384994297E+01 
        46 -3.099999949E-02 -1.949494813E-02  3.756300301E-01  2.363039921E+01 
        47  2.347510974E-02 -3.700358705E-02  3.756665193E-01 -1.626560694E+01 
        48  3.099999949E-02 -1.970950693E-02  3.757179511E-01  1.986462421E+00 
        49 -2.797426966E-02 -3.439086235E-02  3.757323822E-01 -5.883172842E+01 
        50 -3.099999949E-02 -2.489896374E-02  3.757345830E-01 -9.123469351E-01 
        51  1.209727981E-02  3.540633712E-03  3.758258473E-01  7.630638683E+01 
        52  3.038155534E-02 -3.020944095E-02  3.758645029E-01 -8.663657613E+01 
        53  3.099999949E-02 -9.033915286E-03  3.760107850E-01  2.145998390E+01 
        54  1.838454327E-02  3.526927465E-03  3.760663097E-01  7.717030667E+01 
        55 -1.817303420E-02  3.539888609E-03  3.760974668E-01  4.979902782E+01 
        56 -4.459008295E-03 -3.755936772E-02  3.761125901E-01  5.104858643E+00 
        57 -3.041242966E-02 -3.000901674E-02  3.761734159E-01 -5.797845917E+01 
        58 -1.839443331E-02 -3.754550655E-02  3.763045359E-01  7.219761360E-01 
        59 -1.182571770E-02  3.540633712E-03  3.763646949E-01  4.231290329E+01 
