nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1  1.124109831E-01  8.762751366E-03  2.676043251E-01 -1.374687648E+02 
         2  1.053861150E-01  1.064506123E-02  2.676050459E-01 -1.484538238E+02 
         3  9.836194161E-02  1.252718526E-02  2.676057697E-01 -1.539583679E+02 
         4  9.442956001E-02  1.358086430E-02  2.676061690E-01 -1.403316165E+02 
         5  1.120619667E-01  7.488091340E-03  2.678363895E-01 -1.260849436E+02 
         6  1.193524192E-01  6.994507437E-03  2.681081020E-01 -1.332982963E+02 
         7  9.730266979E-02  9.509112782E-03  2.681658468E-01 -1.128390096E+02 
         8  1.045173676E-01  7.471724370E-03  2.681827710E-01 -1.180346412E+02 
         9  9.408890611E-02  1.001363947E-02  2.682266487E-01 -1.116760560E+02 
        10  1.190324725E-01  5.815955292E-03  2.682714605E-01 -1.330058032E+02 
        11  1.157905643E-01  4.405972265E-03  2.683285854E-01 -1.286869991E+02 
        12  9.821658025E-02  8.206494272E-03  2.683451332E-01 -1.113417760E+02 
        13  1.076617643E-01  4.936926855E-03  2.684694372E-01 -1.227136881E+02 
        14  1.060681811E-01  5.355154624E-03  2.684710877E-01 -1.188629773E+02 
        15  1.149802121E-01  1.414703789E-03  2.688689287E-01 -1.279408116E+02 
        16  1.036975394E-01  2.121957062E-03  2.691273727E-01 -1.116019215E+02 
        17  1.098349994E-01 -7.437643923E-04  2.693338495E-01 -1.282562286E+02 
        18  1.064124703E-01  1.733000827E-04  2.693341970E-01 -1.174535680E+02 
        19  9.651655972E-02  2.082630000E-03  2.694610951E-01 -1.066318392E+02 
        20  1.219736444E-01  2.687880371E-03  2.695134985E-01 -1.404588387E+02 
        21  1.022173541E-01  1.032071924E-04  2.695371403E-01 -1.071345558E+02 
        22  9.376282736E-02  2.076469173E-03  2.695875590E-01 -1.056681782E+02 
        23  9.749334639E-02  9.513481804E-04  2.696084597E-01 -1.050208494E+02 
        24  1.054681507E-01  1.101946259E-02  2.697854703E-01 -1.689047093E+02 
        25  1.125058394E-01  9.143893633E-03  2.698407241E-01 -1.482278866E+02 
        26  1.169391248E-01 -2.551419830E-03  2.698605956E-01 -1.341680575E+02 
        27  1.213076213E-01  1.704840686E-04  2.699769817E-01 -1.424887067E+02 
        28  1.054640842E-01 -3.366363988E-03  2.699776743E-01 -1.066163430E+02 
        29  1.038837604E-01 -3.101289156E-03  2.700046927E-01 -1.058713971E+02 
        30  1.259718895E-01  5.592631142E-03  2.701526743E-01 -1.365811524E+02 
        31  1.191336445E-01  7.447562574E-03  2.702778364E-01 -1.373104699E+02 
        32  1.256885112E-01  4.436421213E-03  2.703064720E-01 -1.386896889E+02 
        33  9.601919576E-02 -6.076726015E-03  2.708674698E-01 -1.041698198E+02 
        34  9.827881623E-02  1.315109718E-02  2.709152869E-01 -1.787368770E+02 
        35  9.359161816E-02 -5.916907447E-03  2.709509330E-01 -1.054581401E+02 
        36  9.890333753E-02 -8.555461731E-03  2.711564802E-01 -1.044250646E+02 
        37  9.509203289E-02  1.405908772E-02  2.712131724E-01 -1.617356367E+02 
        38  1.034681718E-01 -1.081572495E-02  2.713319035E-01 -1.051535637E+02 
        39  9.919738890E-02 -9.693320583E-03  2.713360578E-01 -1.056131766E+02 
        40  1.254529249E-01  5.950149207E-03  2.713544440E-01 -1.415117088E+02 
        41  1.151485822E-01  8.770777016E-03  2.716832562E-01 -1.404251244E+02 
        42  1.080652711E-01  1.068387519E-02  2.717672031E-01 -1.571777364E+02 
        43  1.234794987E-01 -3.929270021E-03  2.719207519E-01 -1.499398225E+02 
        44  1.213034826E-01  7.183455070E-03  2.720230223E-01 -1.407236820E+02 
        45  9.968534894E-02  1.298997430E-02  2.721019835E-01 -1.636319276E+02 
        46  9.701563451E-02 -1.398975476E-02  2.721640512E-01 -1.064972285E+02 
        47  9.302324019E-02 -1.358643658E-02  2.722774756E-01 -1.074214380E+02 
        48  1.280932541E-01  1.528601461E-03  2.725245301E-01 -1.371608374E+02 
        49  1.015480429E-01 -1.798223755E-02  2.726347102E-01 -1.084118185E+02 
        50  9.792555240E-02 -1.701693199E-02  2.726359856E-01 -1.079311370E+02 
        51  1.274514900E-01 -8.623770925E-04  2.729628951E-01 -1.494012401E+02 
        52  9.572610033E-02 -2.107679380E-02  2.734246608E-01 -1.075015066E+02 
        53  9.221976145E-02 -2.058468674E-02  2.735008982E-01 -1.069508299E+02 
        54  9.657522195E-02 -2.406962499E-02  2.738935398E-01 -1.073152757E+02 
        55  9.969099711E-02 -2.491328976E-02  2.738947092E-01 -1.102029926E+02 
        56  1.317666245E-01  4.766205572E-03  2.741471561E-01 -1.404209222E+02 
        57  1.315025869E-01  3.611087941E-03  2.743069520E-01 -1.341360920E+02 
        58  9.433868622E-02 -2.755132520E-02  2.745858624E-01 -9.501764344E+01 
        59  9.119580907E-02 -2.697633212E-02  2.746314938E-01 -8.511373427E+01 
        60  1.276181454E-01  6.022086601E-03  2.749413451E-01 -1.461200741E+02 
        61  9.510121157E-02 -3.092209379E-02  2.751227841E-01 -7.697592549E+01 
        62  1.002599837E-01  1.338516031E-02  2.751227509E-01 -1.480561307E+02 
        63  9.784105911E-02 -3.181782270E-02  2.751499038E-01 -1.090043047E+02 
        64  1.304924132E-01  5.365228714E-03  2.755642933E-01 -1.485730393E+02 
        65  9.279714705E-02 -3.379252303E-02  2.757145120E-01 -4.961018828E+01 
        66  1.002936680E-01 -3.591514376E-02  2.757330615E-01 -7.752532313E+01 
        67  9.698107839E-02 -3.502753749E-02  2.757334113E-01 -8.514790547E+01 
        68  8.991080075E-02 -3.314861058E-02  2.757367614E-01 -3.822650652E+01 
        69  1.081859378E-01  1.138562071E-02  2.758052246E-01 -1.519085132E+02 
        70  1.292386549E-01 -4.750506521E-03  2.758913461E-01 -1.556355368E+02 
        71  9.309237677E-02 -3.561325121E-02  2.760098360E-01 -4.325043944E+01 
        72  9.313851568E-02 -3.589779630E-02  2.760559914E-01 -4.916783166E+01 
        73  1.073026396E-01 -3.770286860E-02  2.762292020E-01 -6.154530299E+01 
        74  8.920367515E-02 -3.619896492E-02  2.762862606E-01 -1.635920651E+01 
        75  9.679245295E-02 -3.854058244E-02  2.763377748E-01 -7.386916706E+01 
        76  1.031552802E-01 -4.039740784E-02  2.765507183E-01 -7.805670821E+01 
        77  1.150944781E-01  9.684645434E-03  2.766305432E-01 -1.518056082E+02 
        78  8.974667384E-02 -3.983537860E-02  2.768782409E-01 -4.507241115E+01 
        79  9.623992550E-02 -4.170154902E-02  2.768990013E-01 -8.340909093E+01 
        80  8.825508649E-02 -3.955943557E-02  2.768993707E-01 -3.573410267E+01 
        81  1.024992073E-01 -4.293090802E-02  2.770102049E-01 -1.042508168E+02 
        82  1.211581100E-01  8.144511656E-03  2.770953629E-01 -1.509548180E+02 
        83  9.831481047E-02 -4.437592893E-02  2.772580398E-01 -1.056859455E+02 
        84  9.119080578E-02 -4.278333626E-02  2.773124147E-01 -6.577427447E+01 
        85  1.332243436E-01  9.869205937E-04  2.773379112E-01 -1.394949280E+02 
        86  9.802926574E-02 -4.550515131E-02  2.774625456E-01 -9.946514948E+01 
        87  9.111284353E-02 -4.365189885E-02  2.774632620E-01 -8.798972971E+01 
        88  8.738205582E-02 -4.265223444E-02  2.774636447E-01 -7.418471702E+01 
        89  1.048598602E-01  1.261208467E-02  2.776496773E-01 -1.506045068E+02 
        90  1.097735952E-01 -4.198323675E-02  2.777349191E-01 -4.723707481E+01 
        91  1.325841400E-01 -1.347385193E-03  2.777399914E-01 -1.486465255E+02 
        92  1.051800532E-01 -4.604032813E-02  2.777547959E-01 -9.831183416E+01 
        93  1.048686015E-01 -4.724292925E-02  2.779834176E-01 -8.712190053E+01 
        94  1.091145286E-01 -4.444513577E-02  2.781913734E-01 -7.085162019E+01 
        95  1.116707728E-01  1.088775300E-02  2.782026309E-01 -1.545085135E+02 
        96  1.139254645E-01 -3.911337183E-02  2.782312676E-01 -3.345096524E+01 
        97  1.182934927E-01  9.158968112E-03  2.784537209E-01 -1.564372903E+02 
        98  1.243559056E-01  7.540302109E-03  2.784847540E-01 -1.533356850E+02 
        99  9.806907668E-02 -4.529357675E-02  2.786850496E-01 -9.242371039E+01 
       100  1.315946397E-01  5.650732590E-03  2.787592978E-01 -1.510379154E+02 
       101  9.624955405E-02  1.512353670E-02  2.787745080E-01 -1.438218367E+02 
       102  1.361565737E-01  4.603663428E-03  2.797231097E-01 -1.461327745E+02 
       103  1.046734962E-01 -4.686726372E-02  2.797623276E-01 -6.786002082E+01 
       104  1.116878676E-01 -4.739669939E-02  2.797631409E-01 -6.100190391E+01 
       105  1.358963327E-01  3.393559508E-03  2.799030731E-01 -1.397690813E+02 
       106  1.113546329E-01 -4.861337198E-02  2.800042265E-01 -5.755058507E+01 
       107  9.109580434E-02 -4.313901367E-02  2.802594293E-01 -1.051448669E+02 
       108  1.350503117E-01  5.011832517E-03  2.803379230E-01 -1.537721223E+02 
       109  8.778500109E-02 -4.222443502E-02  2.804107607E-01 -1.003906143E+02 
       110  1.159758172E-01 -4.311867377E-02  2.806468488E-01 -2.688752924E+01 
       111  1.017126288E-01 -4.585769233E-02  2.809519487E-01 -8.272415418E+01 
       112  1.153164910E-01 -4.556251803E-02  2.811131971E-01 -4.074558716E+01 
       113  1.108687076E-01 -4.827845796E-02  2.811303567E-01 -4.818615650E+01 
       114  9.193149642E-02 -4.320317786E-02  2.811381495E-01 -1.094595675E+02 
       115  1.336573080E-01 -4.921373085E-03  2.814638136E-01 -1.521198485E+02 
       116  9.477520184E-02 -4.390197598E-02  2.814853559E-01 -1.077800163E+02 
       117  1.255898759E-01  7.789239407E-03  2.816727852E-01 -1.613978987E+02 
       118  1.069406018E-01 -4.711880158E-02  2.817200174E-01 -5.957475744E+01 
       119  1.114115378E-01  1.162962724E-02  2.819014759E-01 -1.584381210E+02 
       120  1.197543612E-01 -3.995460802E-02  2.821946355E-01 -2.705139904E+01 
       121  1.047229067E-01  1.348949897E-02  2.822743260E-01 -1.497789274E+02 
       122  1.283253514E-01  7.186548431E-03  2.823891398E-01 -1.566049215E+02 
       123  1.006471163E-01  1.479017230E-02  2.834220285E-01 -1.450079825E+02 
       124  1.173894404E-01 -4.819306491E-02  2.835807958E-01 -4.112042057E+01 
       125  1.367951134E-01  1.006823019E-03  2.836924825E-01 -1.276483386E+02 
       126  1.170111527E-01 -4.942829024E-02  2.838582987E-01 -4.181572706E+01 
       127  1.361045899E-01 -1.203247973E-03  2.838736642E-01 -1.089096532E+02 
       128  1.072676640E-01  1.314294525E-02  2.841185593E-01 -1.548945409E+02 
       129  1.353787631E-01 -4.844505340E-03  2.844237983E-01 -1.177089486E+02 
       130  1.127709307E-01 -4.818485135E-02  2.844488409E-01 -4.455124020E+01 
       131  1.185177900E-01  1.021011275E-02  2.845664428E-01 -1.671266892E+02 
       132  1.344817727E-01 -8.192349715E-03  2.850324180E-01 -1.034814295E+02 
       133  1.010215935E-01 -4.493004501E-02  2.850362973E-01 -9.372191403E+01 
       134  1.349180115E-01  5.903039543E-03  2.850453077E-01 -1.573111728E+02 
       135  1.158688624E-01 -4.888697959E-02  2.851524042E-01 -4.058853950E+01 
       136  1.210880723E-01 -4.362933755E-02  2.852763725E-01 -3.403489215E+01 
       137  1.158349340E-01  1.111736594E-02  2.856029794E-01 -1.665863678E+02 
       138  1.302425961E-01  7.257364436E-03  2.856043956E-01 -1.591187084E+02 
       139  9.743178779E-02 -4.386240170E-02  2.856184179E-01 -1.111164056E+02 
       140  1.204406339E-01 -4.606761665E-02  2.857677707E-01 -4.178473670E+01 
       141  1.217040945E-01  9.588230586E-03  2.858416791E-01 -1.698784871E+02 
       142  1.364510529E-01 -2.668992701E-03  2.858495838E-01 -8.835337577E+01 
       143  9.945779192E-02  1.555939320E-02  2.859005025E-01 -1.451275861E+02 
       144  9.682907626E-02  1.626411197E-02  2.859027262E-01 -1.430175238E+02 
       145  1.386995389E-01  5.124104991E-03  2.863338808E-01 -1.383618765E+02 
       146  9.066620431E-02 -4.191836850E-02  2.863408126E-01 -1.189525172E+02 
       147  1.325515531E-01 -1.539651770E-02  2.863420712E-01 -7.729599132E+01 
       148  8.848162905E-02 -4.131811127E-02  2.864230046E-01 -1.108042094E+02 
       149  1.064579501E-01 -4.611148078E-02  2.865497536E-01 -6.951486797E+01 
       150  1.383359327E-01  3.388499794E-03  2.866236571E-01 -1.105277031E+02 
       151  1.366562933E-01  5.738586384E-03  2.867026239E-01 -1.582972756E+02 
       152  1.349815238E-01 -8.084533610E-03  2.874477634E-01 -6.282917222E+01 
       153  1.036908279E-01 -4.518448892E-02  2.875706726E-01 -8.678458084E+01 
       154  1.306621884E-01 -2.244820494E-02  2.876239933E-01 -5.923443280E+01 
       155  1.242108403E-01 -4.012610069E-02  2.878194153E-01 -4.863137623E+01 
       156  1.167133320E-01 -4.860940933E-02  2.879238796E-01 -4.400747592E+01 
       157  1.076420505E-01  1.376438280E-02  2.880887569E-01 -1.590594238E+02 
       158  1.096628900E-01 -4.667956436E-02  2.881484016E-01 -6.066328210E+01 
       159  1.330086402E-01 -1.520172479E-02  2.881971042E-01 -4.578780529E+01 
       160  1.363981717E-01 -4.324003076E-03  2.884146260E-01 -7.321216778E+01 
       161  9.616224780E-02 -4.299424745E-02  2.885228771E-01 -1.242118467E+02 
       162  9.236196842E-02 -4.194693401E-02  2.886829606E-01 -1.285658578E+02 
       163  1.217440182E-01 -4.828769846E-02  2.888931661E-01 -4.940737520E+01 
       164  1.287747480E-01 -2.949271702E-02  2.889046232E-01 -5.478744807E+01 
       165  1.289715857E-01  8.243154846E-03  2.891537814E-01 -1.704291767E+02 
       166  1.213189141E-01 -4.961557469E-02  2.891770205E-01 -4.581846116E+01 
       167  1.011640128E-01  1.574556753E-02  2.894393033E-01 -1.500482808E+02 
       168  1.235711094E-01  9.745758770E-03  2.894598873E-01 -1.766170034E+02 
       169  1.311228471E-01 -2.223543578E-02  2.894741976E-01 -3.422946407E+01 
       170  1.205404844E-01 -4.932446030E-02  2.896311089E-01 -4.554711014E+01 
       171  1.140210685E-01  1.234603741E-02  2.896883280E-01 -1.681446076E+02 
       172  1.346525717E-01 -1.087896643E-02  2.899300556E-01 -5.083308340E+01 
       173  1.268462645E-01 -3.669040440E-02  2.902131066E-01 -6.230873009E+01 
       174  1.057568297E-01  1.466661731E-02  2.902732645E-01 -1.574375268E+02 
       175  1.106301338E-01 -4.648383688E-02  2.906506179E-01 -6.552596228E+01 
       176  1.292285661E-01 -2.927488716E-02  2.907079037E-01 -3.654067046E+01 
       177  1.382617231E-01  1.690845163E-03  2.907181714E-01 -8.887746053E+01 
       178  1.259473711E-01 -4.004534334E-02  2.908230126E-01 -5.858547988E+01 
       179  1.326159593E-01 -1.842515717E-02  2.909866369E-01 -3.809366322E+01 
       180  1.371070778E-01 -2.662231901E-03  2.911318333E-01 -7.033100274E+01 
       181  1.142859123E-01 -4.737337546E-02  2.911454533E-01 -5.598108733E+01 
       182  1.245857307E-01 -4.339350107E-02  2.911769779E-01 -5.278543581E+01 
       183  1.027740632E-01 -4.425300546E-02  2.913434365E-01 -1.041906838E+02 
       184  1.357629014E-01  6.850496539E-03  2.915023193E-01 -1.606871453E+02 
       185  8.883032928E-02 -4.042656281E-02  2.918411809E-01 -1.249404467E+02 
       186  9.840318272E-02 -4.298967545E-02  2.918508064E-01 -1.248220111E+02 
