nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1  1.190062634E-01  3.536504573E-02 -5.091679123E-01 -5.180513463E+01 
         2  1.196976243E-01  2.534247284E-02 -5.090459946E-01 -5.379413360E+01 
         3  1.207294169E-01  3.524659583E-02 -5.088640728E-01 -5.597754450E+01 
         4  1.209695349E-01  4.494965751E-02 -5.088217324E-01 -5.490489215E+01 
         5  1.225424034E-01  4.437037245E-02 -5.085443902E-01 -5.967573642E+01 
         6  1.227953188E-01  1.506084370E-02 -5.084997848E-01 -5.774995074E+01 
         7  1.228632081E-01  2.597998318E-02 -5.084878282E-01 -6.324224397E+01 
         8  1.236983510E-01  3.944878657E-02 -5.083405678E-01 -5.417708937E+01 
         9  1.239140769E-01  3.060635002E-02 -5.083025374E-01 -5.661114950E+01 
        10  1.255508926E-01  5.356152872E-02 -5.080139033E-01 -6.396122647E+01 
        11  1.262000149E-01  1.644341261E-02 -5.078994505E-01 -7.438125417E+01 
        12  1.269433334E-01  2.179485888E-02 -5.077683919E-01 -6.505481629E+01 
        13  1.271969347E-01 -8.626703106E-02 -5.077236962E-01 -4.990139985E+01 
        14  1.272049004E-01  4.737950531E-02 -5.077222711E-01 -6.207122111E+01 
        15  1.273272892E-01  4.080006261E-03 -5.077006854E-01 -6.121975537E+01 
        16  1.273598942E-01 -9.564600646E-02 -5.076949545E-01 -5.259693262E+01 
        17  1.277462296E-01 -7.578514113E-02 -5.076268317E-01 -4.588908634E+01 
        18  1.279713646E-01  5.171203537E-02 -5.075871198E-01 -7.148700506E+01 
        19  1.285876022E-01 -1.044648734E-01 -5.074784710E-01 -5.496384029E+01 
        20  1.292693973E-01 -9.552881812E-02 -5.073582599E-01 -5.551060216E+01 
        21  1.293483366E-01 -6.391718980E-02 -5.073443370E-01 -4.529078627E+01 
        22  1.304488823E-01  3.808384228E-02 -5.071502606E-01 -5.421434079E+01 
        23  1.304670089E-01 -8.630689372E-02 -5.071470961E-01 -5.252682516E+01 
        24  1.309623208E-01 -1.038854041E-01 -5.070597521E-01 -5.734525803E+01 
        25  1.312110647E-01  5.748940487E-03 -5.070158751E-01 -8.021215134E+01 
        26  1.312843093E-01  3.329703630E-02 -5.070029651E-01 -5.480978081E+01 
        27  1.314860861E-01 -7.610794455E-02 -5.069673955E-01 -4.744000923E+01 
        28  1.315706801E-01  5.315738575E-02 -5.069524659E-01 -7.015616946E+01 
        29  1.316349831E-01 -8.235281538E-03 -5.069411406E-01 -5.811350766E+01 
        30  1.317622246E-01 -1.127863481E-01 -5.069186980E-01 -5.569688214E+01 
        31  1.319236741E-01 -5.068320356E-02 -5.068902324E-01 -4.776811837E+01 
        32  1.319893018E-01  1.123987985E-02 -5.068786509E-01 -7.265258729E+01 
