nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1  4.226400888E-02 -6.056512998E-05 -3.493483652E-02 -3.805540305E+01 
         2  3.816134867E-02 -8.732406215E-04 -3.485830358E-02 -3.787325756E+01 
         3  4.327417412E-02  2.302764925E-03 -3.485280612E-02 -3.762983288E+01 
         4  2.287286713E-02  2.157698171E-03 -3.483014442E-02 -3.671951042E+01 
         5  4.388672526E-02 -2.666741657E-03 -3.482740778E-02 -3.897498103E+01 
         6  3.221761022E-02  7.479203310E-04 -3.480811719E-02 -3.657871149E+01 
         7  3.644257197E-02  1.015191523E-03 -3.478990077E-02 -3.697413665E+01 
         8  2.298161868E-02  2.993550700E-03 -3.471827256E-02 -3.524874819E+01 
         9  3.028627972E-02 -2.681024043E-03 -3.463685650E-02 -3.812534862E+01 
        10  4.186921071E-02  4.663525233E-03 -3.460242308E-02 -3.676783304E+01 
        11  3.818728225E-02  4.663811000E-03 -3.459537868E-02 -3.631061305E+01 
        12  3.816617368E-02 -4.444904565E-03 -3.458267898E-02 -3.912400211E+01 
        13  2.739394678E-02 -2.788242555E-03 -3.456643632E-02 -3.815050906E+01 
        14  4.230313846E-02 -5.170213085E-03 -3.455189047E-02 -3.959477003E+01 
        15  3.053268492E-02  4.694634205E-03 -3.450456845E-02 -3.531684315E+01 
        16  1.524945280E-02 -2.703831654E-03 -3.438861272E-02 -3.866777025E+01 
        17  4.621237851E-02  2.272048196E-03 -3.437275408E-02 -3.771952609E+01 
        18  4.621586168E-02 -2.630472648E-03 -3.434079929E-02 -3.904301669E+01 
        19  3.072030568E-03 -2.026460976E-03 -3.433392865E-02 -3.876954171E+01 
        20  2.687551599E-02  5.614401515E-03 -3.433362430E-02 -3.481950528E+01 
        21  1.815166060E-02 -2.611912523E-03 -3.432354378E-02 -3.847264457E+01 
        22  1.198793868E-02  3.022282399E-03 -3.432274159E-02 -3.680045161E+01 
        23  3.243527736E-02 -6.101971260E-03 -3.427286565E-02 -4.031796776E+01 
        24  3.669082543E-02 -6.096822560E-03 -3.426821069E-02 -4.042809478E+01 
        25  6.030491870E-03  2.911634278E-03 -3.426396116E-02 -3.704148424E+01 
        26 -7.494541727E-19 -2.021058539E-03 -3.420413686E-02 -3.756249794E+01 
        27  4.328780263E-02  7.225621418E-03 -3.418735717E-02 -3.631228432E+01 
        28  4.334021747E-02 -7.579860628E-03 -3.409624641E-02 -3.991606969E+01 
        29  3.662937055E-02  7.499353829E-03 -3.405740395E-02 -3.546739137E+01 
        30  2.320191192E-02 -7.536181717E-03 -3.404746679E-02 -3.993616419E+01 
        31  3.321206518E-02  7.809286942E-03 -3.397308540E-02 -3.494207295E+01 
        32  4.756128695E-02 -1.247825324E-04 -3.385859534E-02 -3.829088219E+01 
        33  4.621068786E-02  7.123532386E-03 -3.370430596E-02 -3.632415838E+01 
        34  1.222165800E-02 -7.465043226E-03 -3.364665006E-02 -4.161425057E+01 
        35  6.009188001E-03 -7.327467471E-03 -3.361676091E-02 -4.133472731E+01 
        36  4.622547054E-02 -7.472478290E-03 -3.361313007E-02 -3.961911326E+01 
        37  3.127642304E-02 -9.309102912E-03 -3.360294687E-02 -4.157015374E+01 
        38  4.756059067E-02  4.655566042E-03 -3.354240982E-02 -3.693600416E+01 
        39  4.195715651E-02 -9.735849493E-03 -3.352618908E-02 -4.083399044E+01 
        40  1.508305818E-02  8.057631640E-03 -3.352217362E-02 -3.521175594E+01 
        41  4.755649520E-02 -4.897778450E-03 -3.349516034E-02 -3.939068245E+01 
        42  3.851649431E-02 -9.807622829E-03 -3.349331094E-02 -4.176687697E+01 
        43  4.196044372E-02  9.942490693E-03 -3.347499180E-02 -3.530203637E+01 
        44  3.044246584E-03  8.133434390E-03 -3.344434454E-02 -3.622462451E+01 
        45  1.782241703E-02  8.205331974E-03 -3.342679508E-02 -3.474493131E+01 
        46  3.855775202E-02  1.011835994E-02 -3.341030646E-02 -3.494161305E+01 
        47  2.624887101E-02  1.002866375E-02 -3.333978611E-02 -3.394647124E+01 
        48  2.343306955E-02 -9.699997395E-03 -3.333522957E-02 -4.111437548E+01 
