nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -1.333245269E-01 -5.797051736E-02  1.211278325E-01 -7.561842663E+01 
         2 -1.364174248E-01 -5.394302143E-02  1.212291901E-01 -7.164188385E+01 
         3 -1.397280223E-01 -4.963202629E-02  1.213376750E-01 -6.918499563E+01 
         4 -1.312735338E-01 -6.167070254E-02  1.213610931E-01 -7.779461280E+01 
         5 -1.429304603E-01 -4.540947544E-02  1.214273217E-01 -7.016742090E+01 
         6 -1.369205938E-01 -5.433578599E-02  1.215515661E-01 -8.085994677E+01 
         7 -1.460954689E-01 -4.166827793E-02  1.216420140E-01 -7.560963538E+01 
         8 -1.361643556E-01 -5.376240265E-02  1.218442540E-01 -6.174449196E+01 
         9 -1.345253449E-01 -5.888609265E-02  1.218908345E-01 -8.443838864E+01 
        10 -1.303900882E-01 -6.540918419E-02  1.220875601E-01 -7.909801296E+01 
        11 -1.440092526E-01 -4.624244498E-02  1.221158344E-01 -7.909724111E+01 
        12 -1.497560429E-01 -3.830469331E-02  1.221715215E-01 -8.293984768E+01 
        13 -1.412368331E-01 -5.081457959E-02  1.223057604E-01 -7.782476141E+01 
        14 -1.369179280E-01 -5.708005695E-02  1.223514705E-01 -8.204011498E+01 
        15 -1.334056217E-01 -6.222283459E-02  1.224024929E-01 -8.432418995E+01 
        16 -1.301208586E-01 -6.728053093E-02  1.225226223E-01 -7.778703914E+01 
        17 -1.392335305E-01 -4.928195576E-02  1.225360339E-01 -5.935558950E+01 
        18 -1.473902314E-01 -4.301391827E-02  1.225693302E-01 -8.325412035E+01 
        19 -1.343819319E-01 -6.144995147E-02  1.225799739E-01 -8.423631314E+01 
        20 -1.327338237E-01 -5.752787534E-02  1.225891886E-01 -6.603472884E+01 
        21 -1.406341691E-01 -5.289974778E-02  1.226655736E-01 -7.792976023E+01 
        22 -1.307134731E-01 -6.129181807E-02  1.227150670E-01 -7.103338678E+01 
        23 -1.504699627E-01 -3.929292683E-02  1.227547158E-01 -9.109904559E+01 
        24 -1.430995676E-01 -4.988193256E-02  1.228025728E-01 -7.645217052E+01 
        25 -1.464954420E-01 -4.521394973E-02  1.228420654E-01 -7.954982093E+01 
        26 -1.539532797E-01 -3.487678641E-02  1.229038191E-01 -9.694742605E+01 
        27 -1.423095453E-01 -4.498486756E-02  1.229390577E-01 -6.058454565E+01 
        28 -1.324116733E-01 -6.547743271E-02  1.229421008E-01 -8.701968025E+01 
        29 -1.493733241E-01 -4.215928994E-02  1.231386063E-01 -8.469659878E+01 
        30 -1.453848054E-01 -4.115138588E-02  1.231620362E-01 -6.529610357E+01 
        31 -1.345076793E-01 -5.473025132E-02  1.232433084E-01 -6.381397040E+01 
        32 -1.318452801E-01 -5.802129544E-02  1.233709247E-01 -6.794750290E+01 
        33 -1.298425117E-01 -6.499752686E-02  1.234164602E-01 -7.179277551E+01 
        34 -1.305839251E-01 -6.028423528E-02  1.235106810E-01 -6.961208575E+01 
        35 -1.392169265E-01 -5.810144389E-02  1.235987442E-01 -7.867981225E+01 
        36 -1.490659311E-01 -3.775623173E-02  1.236057525E-01 -7.151620375E+01 
        37 -1.372868662E-01 -5.084728717E-02  1.236569641E-01 -6.046111596E+01 
        38 -1.583480747E-01 -3.128915414E-02  1.236710573E-01 -1.190798908E+02 
        39 -1.549643165E-01 -3.629141495E-02  1.237341363E-01 -1.083791814E+02 
        40 -1.416827133E-01 -5.512934930E-02  1.237492504E-01 -7.595087549E+01 
        41 -1.320423705E-01 -6.878717549E-02  1.237556841E-01 -8.052200082E+01 
        42 -1.332407955E-01 -6.733375477E-02  1.238262319E-01 -9.127343334E+01 
        43 -1.536848493E-01 -3.865300638E-02  1.238952126E-01 -9.446702239E+01 
        44 -1.400606053E-01 -4.694037530E-02  1.241083813E-01 -5.976432739E+01 
        45 -1.432010986E-01 -4.277155943E-02  1.242252436E-01 -6.252895332E+01 
        46 -1.532728538E-01 -3.434237429E-02  1.243092296E-01 -7.835857874E+01 
        47 -1.378862025E-01 -6.266717214E-02  1.243820096E-01 -8.161853021E+01 
        48 -1.397277370E-01 -6.010342978E-02  1.243939787E-01 -7.917443625E+01 
        49 -1.626795560E-01 -2.775315684E-02  1.244272290E-01 -1.359573374E+02 
        50 -1.293729723E-01 -6.547927306E-02  1.244680924E-01 -7.113920007E+01 
        51 -1.467072071E-01 -3.891864074E-02  1.245474246E-01 -6.782062278E+01 
        52 -1.594888851E-01 -3.288738018E-02  1.246085390E-01 -1.377591466E+02 
        53 -1.292384850E-01 -6.665670636E-02  1.246598714E-01 -7.062315376E+01 
        54 -1.467217705E-01 -5.144128009E-02  1.247531590E-01 -7.308838749E+01 
        55 -1.490092598E-01 -4.845417793E-02  1.248256715E-01 -7.459932678E+01 
        56 -1.580773436E-01 -3.575718163E-02  1.248634263E-01 -1.134047747E+02 
        57 -1.576578629E-01 -3.075107725E-02  1.251072764E-01 -8.726920343E+01 
        58 -1.524835872E-01 -4.452476111E-02  1.251131320E-01 -8.133249267E+01 
        59 -1.667162914E-01 -2.445772344E-02  1.251319300E-01 -1.348024147E+02 
        60 -1.636998027E-01 -2.918405709E-02  1.252660949E-01 -1.617447990E+02 
        61 -1.447012036E-01 -5.605881001E-02  1.252667402E-01 -7.304203020E+01 
        62 -1.365657279E-01 -6.757787004E-02  1.252701968E-01 -8.896723964E+01 
        63 -1.507006458E-01 -3.542408188E-02  1.252845490E-01 -7.372921171E+01 
        64 -1.384120735E-01 -6.507117767E-02  1.253008078E-01 -8.148725491E+01 
        65 -1.551781686E-01 -4.225319961E-02  1.255625713E-01 -8.664185615E+01 
        66 -1.624160145E-01 -3.209299041E-02  1.255851448E-01 -1.393196631E+02 
        67 -1.470446785E-01 -5.445946760E-02  1.257674311E-01 -7.103732208E+01 
        68 -1.620083368E-01 -2.722855709E-02  1.258107585E-01 -9.472044507E+01 
        69 -1.675449351E-01 -2.563305364E-02  1.258170967E-01 -1.569780464E+02 
        70 -1.518977397E-01 -4.777896950E-02  1.258211103E-01 -7.608024249E+01 
        71 -1.705262923E-01 -2.166036447E-02  1.258883965E-01 -1.159319171E+02 
        72 -1.311796674E-01 -6.818121769E-02  1.260026379E-01 -6.893278442E+01 
        73 -1.662586540E-01 -2.410812783E-02  1.260541391E-01 -9.775936304E+01 
