nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -9.472122043E-02  1.349434815E-02  2.676740587E-01 -1.308844915E+02 
         2 -9.872180416E-02  1.242239663E-02  2.676761282E-01 -1.428272048E+02 
         3 -1.058373222E-01  1.051580251E-02  2.676798161E-01 -1.386981879E+02 
         4 -1.128477957E-01  8.637355048E-03  2.676834424E-01 -1.262858369E+02 
         5 -1.124977465E-01  7.375843576E-03  2.679125860E-01 -1.160878311E+02 
         6 -1.053411610E-01  8.738458267E-03  2.680027922E-01 -1.112265198E+02 
         7 -1.196674507E-01  6.897784121E-03  2.681711687E-01 -1.216588125E+02 
         8 -9.758554633E-02  9.133139319E-03  2.682836136E-01 -1.063202614E+02 
         9 -1.193293416E-01  5.651468151E-03  2.683446379E-01 -1.216500171E+02 
        10 -9.438723176E-02  9.607290422E-03  2.683467362E-01 -1.053390555E+02 
        11 -1.078952578E-01  5.741100314E-03  2.683954851E-01 -1.135700166E+02 
        12 -1.153570009E-01  4.088724074E-03  2.684625333E-01 -1.175480587E+02 
        13 -9.899486354E-02  7.296083360E-03  2.685312886E-01 -1.051003763E+02 
        14 -1.076067351E-01  3.845622766E-03  2.687291397E-01 -1.097625140E+02 
        15 -1.147747798E-01  1.784879145E-03  2.688774121E-01 -1.169815552E+02 
        16 -1.054175734E-01  2.475681327E-03  2.690590616E-01 -1.059061895E+02 
        17 -9.886145886E-02  3.498815221E-03  2.691797900E-01 -1.015185289E+02 
        18 -1.032734277E-01  1.133910326E-03  2.693822009E-01 -1.021499963E+02 
        19 -1.070180088E-01  1.727468998E-06  2.694059312E-01 -1.094689897E+02 
        20 -1.104617224E-01 -9.210117229E-04  2.694077221E-01 -1.175875362E+02 
        21 -1.195360759E-01  7.166213185E-03  2.694580790E-01 -1.246250309E+02 
        22 -1.221993763E-01  2.546341684E-03  2.695569328E-01 -1.281652594E+02 
        23 -1.129296915E-01  8.991436075E-03  2.697584368E-01 -1.358755130E+02 
        24 -9.594632737E-02  8.444316685E-04  2.697595851E-01 -9.915429293E+01 
        25 -9.388075530E-02  9.424256831E-04  2.698355836E-01 -9.946268014E+01 
        26 -1.059165916E-01  1.088959672E-02  2.698597082E-01 -1.568935759E+02 
        27 -1.175633854E-01 -2.727338725E-03  2.699442098E-01 -1.230125706E+02 
        28 -1.215750002E-01  1.186337426E-04  2.699910161E-01 -1.298588742E+02 
        29 -1.060961393E-01 -3.437540423E-03  2.700292074E-01 -1.014041290E+02 
        30 -1.042278927E-01 -3.121194351E-03  2.700594156E-01 -1.006707791E+02 
        31 -1.261618077E-01  5.512264890E-03  2.701314723E-01 -1.256734189E+02 
        32 -1.258671021E-01  4.299788159E-03  2.702852282E-01 -1.276511642E+02 
        33 -1.012335577E-01 -5.486383740E-03  2.705938338E-01 -9.943090683E+01 
        34 -9.783952205E-02 -4.843542979E-03  2.706371802E-01 -9.859641562E+01 
        35 -9.862728353E-02  1.302594869E-02  2.708667977E-01 -1.656979391E+02 
        36 -9.533655212E-02  1.395853533E-02  2.711456321E-01 -1.494435888E+02 
        37 -1.151410000E-01  8.666408532E-03  2.712356205E-01 -1.272409259E+02 
        38 -9.345939447E-02 -7.897083871E-03  2.713501788E-01 -9.986684480E+01 
        39 -1.041308752E-01 -1.076944061E-02  2.713579103E-01 -1.006477414E+02 
        40 -1.026997124E-01 -1.040320998E-02  2.713600859E-01 -1.002963627E+02 
        41 -9.981506971E-02 -1.260224037E-02  2.718614623E-01 -1.009547319E+02 
        42 -1.086669348E-01  1.051653495E-02  2.718691186E-01 -1.455442319E+02 
        43 -1.254289371E-01  6.025872713E-03  2.718816380E-01 -1.292111294E+02 
        44 -9.693390320E-02 -1.208890021E-02  2.719037342E-01 -1.004793602E+02 
        45 -1.218893237E-01  6.995915768E-03  2.719990314E-01 -1.280480892E+02 
        46 -1.240943496E-01 -4.098335808E-03  2.720387767E-01 -1.365146287E+02 
        47 -1.002361144E-01  1.285692157E-02  2.723136964E-01 -1.526192383E+02 
        48 -1.284411060E-01  1.409147877E-03  2.725343305E-01 -1.277126221E+02 
        49 -1.022376150E-01 -1.783271479E-02  2.726379188E-01 -1.031155637E+02 
        50 -9.273319067E-02 -1.635022567E-02  2.728130556E-01 -1.019552860E+02 
        51 -1.277696302E-01 -1.013051550E-03  2.729441931E-01 -1.369889428E+02 
        52 -9.686383775E-02 -2.015101939E-02  2.732710386E-01 -1.030217398E+02 
        53 -9.651630778E-02 -2.373962985E-02  2.738938394E-01 -1.034263471E+02 
        54 -1.003742122E-01 -2.478461439E-02  2.738977501E-01 -1.054283909E+02 
        55 -1.318847002E-01  4.672665901E-03  2.739631650E-01 -1.294676471E+02 
        56 -9.531276737E-02 -2.481117965E-02  2.741290963E-01 -9.587219315E+01 
        57 -1.315975032E-01  3.388518843E-03  2.741331181E-01 -1.251820586E+02 
        58 -1.268806798E-01  6.049530434E-03  2.741594535E-01 -1.330683998E+02 
        59 -9.166068331E-02 -2.422140074E-02  2.741929816E-01 -9.096597149E+01 
