nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -2.269724624E-01 -2.138657328E-01 -2.471180470E-02 -6.892159568E+01 
         2 -2.271836068E-01 -2.142682443E-01 -2.445189208E-02 -8.354848484E+01 
         3 -2.339798357E-01 -2.114638674E-01 -2.437830660E-02 -6.230659568E+01 
         4 -2.208881843E-01 -2.180506368E-01 -2.389673449E-02 -7.888869807E+01 
         5 -2.341599070E-01 -2.128939152E-01 -2.358483066E-02 -7.145669931E+01 
         6 -2.219991776E-01 -2.190479210E-01 -2.311876789E-02 -9.530039883E+01 
         7 -2.313804728E-01 -2.150083317E-01 -2.310585814E-02 -7.765887630E+01 
         8 -2.412405547E-01 -2.110600708E-01 -2.293576041E-02 -5.369432346E+01 
         9 -2.262585045E-01 -2.123163515E-01 -2.292597561E-02 -5.288444680E+01 
        10 -2.253458078E-01 -2.180627283E-01 -2.287430433E-02 -8.879269645E+01 
        11 -2.334395241E-01 -2.098574797E-01 -2.259268314E-02 -5.326452014E+01 
        12 -2.368424600E-01 -2.140334089E-01 -2.237381685E-02 -6.610632900E+01 
        13 -2.409496552E-01 -2.123847564E-01 -2.230507491E-02 -5.815488369E+01 
        14 -2.199793609E-01 -2.165417879E-01 -2.204025855E-02 -5.583792825E+01 
        15 -2.162977433E-01 -2.236612613E-01 -2.199100875E-02 -8.745694373E+01 
        16 -2.213719946E-01 -2.218775229E-01 -2.177291388E-02 -9.887104171E+01 
        17 -2.175945813E-01 -2.242073820E-01 -2.140806332E-02 -1.044352534E+02 
        18 -2.314873139E-01 -2.182641217E-01 -2.136844705E-02 -8.050534376E+01 
        19 -2.289998755E-01 -2.096325882E-01 -2.131310648E-02 -5.256620663E+01 
        20 -2.280218008E-01 -2.200080088E-01 -2.124081732E-02 -8.647928910E+01 
        21 -2.408731006E-01 -2.094006298E-01 -2.107564024E-02 -5.336481509E+01 
        22 -2.221486841E-01 -2.131084857E-01 -2.101463887E-02 -5.247634287E+01 
        23 -2.480566843E-01 -2.126933917E-01 -2.052271669E-02 -5.376470312E+01 
        24 -2.434223137E-01 -2.147615436E-01 -2.049089626E-02 -5.468981712E+01 
        25 -2.364524954E-01 -2.080734620E-01 -2.043205289E-02 -5.487188938E+01 
        26 -2.151997107E-01 -2.222267060E-01 -1.999756609E-02 -6.473647221E+01 
        27 -2.369803437E-01 -2.189159547E-01 -1.977340253E-02 -7.308234040E+01 
        28 -2.469207960E-01 -2.146311176E-01 -1.976208247E-02 -5.574551009E+01 
        29 -2.346038242E-01 -2.199873942E-01 -1.975136008E-02 -8.128451817E+01 
        30 -2.165598210E-01 -2.181712772E-01 -1.953984289E-02 -5.743086101E+01 
        31 -2.181597207E-01 -2.276359917E-01 -1.947525835E-02 -1.060140282E+02 
        32 -2.276728172E-01 -2.235543679E-01 -1.945442446E-02 -9.226208445E+01 
        33 -2.254381502E-01 -2.248226325E-01 -1.929648747E-02 -9.657859449E+01 
        34 -2.136909633E-01 -2.301441686E-01 -1.917416901E-02 -9.727319858E+01 
        35 -2.402527521E-01 -2.197225096E-01 -1.860311893E-02 -6.814347080E+01 
        36 -2.160450975E-01 -2.303582606E-01 -1.852492290E-02 -1.090197498E+02 
        37 -2.478618837E-01 -2.109807929E-01 -1.850648011E-02 -5.331413663E+01 
        38 -2.482048610E-01 -2.166285403E-01 -1.841843864E-02 -6.484975836E+01 
        39 -2.438953210E-01 -2.085631025E-01 -1.837933174E-02 -5.333052904E+01 
        40 -2.242283426E-01 -2.279208945E-01 -1.794207740E-02 -1.013696161E+02 
        41 -2.278171767E-01 -2.066804483E-01 -1.774342168E-02 -5.410046187E+01 
        42 -2.327254655E-01 -2.247037142E-01 -1.769798982E-02 -9.039857160E+01 
        43 -2.537755962E-01 -2.162010722E-01 -1.737356743E-02 -8.546803292E+01 
        44 -2.415123039E-01 -2.215935498E-01 -1.733155739E-02 -7.416952167E+01 
        45 -2.207059900E-01 -2.101251893E-01 -1.730367098E-02 -5.142219981E+01 
        46 -2.169956694E-01 -2.326090582E-01 -1.712397750E-02 -1.076918186E+02 
        47 -2.125411297E-01 -2.289075895E-01 -1.711165137E-02 -8.036535986E+01 
        48 -2.526496403E-01 -2.172537141E-01 -1.707636232E-02 -9.324134092E+01 
        49 -2.128040251E-01 -2.243778573E-01 -1.701821442E-02 -6.960211225E+01 
        50 -2.354762002E-01 -2.049608717E-01 -1.671924428E-02 -5.802580882E+01 
        51 -2.251394882E-01 -2.301164902E-01 -1.657916438E-02 -1.020539968E+02 
        52 -2.457786294E-01 -2.213479480E-01 -1.648832145E-02 -7.187038935E+01 
        53 -2.234124169E-01 -2.069089684E-01 -1.602988764E-02 -5.377289163E+01 
        54 -2.342522325E-01 -2.275065751E-01 -1.587523672E-02 -9.285389371E+01 
        55 -2.310031512E-01 -2.042104535E-01 -1.574750233E-02 -5.764805079E+01 
        56 -2.133750753E-01 -2.368493300E-01 -1.571820757E-02 -1.047540418E+02 
        57 -2.148328902E-01 -2.152269646E-01 -1.566007509E-02 -5.381183238E+01 
        58 -2.149584517E-01 -2.365351988E-01 -1.552257607E-02 -1.104622497E+02 
        59 -2.505353999E-01 -2.111362249E-01 -1.548115194E-02 -5.909288809E+01 
        60 -2.225263528E-01 -2.333611760E-01 -1.546758750E-02 -1.035244116E+02 
        61 -2.537472219E-01 -2.146004417E-01 -1.530338822E-02 -7.010914989E+01 
        62 -2.532388449E-01 -2.209084309E-01 -1.501910530E-02 -1.160237260E+02 
        63 -2.388855516E-01 -2.271363246E-01 -1.501393036E-02 -8.573355489E+01 
        64 -2.168775895E-01 -2.112533579E-01 -1.499906018E-02 -5.228967379E+01 
        65 -2.480242321E-01 -2.234336098E-01 -1.487907662E-02 -8.982491529E+01 
        66 -2.313843743E-01 -2.310571951E-01 -1.466075297E-02 -9.850280247E+01 
        67 -2.431437917E-01 -2.053879355E-01 -1.456677268E-02 -5.806496263E+01 
        68 -2.387421129E-01 -2.035174155E-01 -1.419536104E-02 -6.044803447E+01 
        69 -2.578452861E-01 -2.212519578E-01 -1.378836973E-02 -1.257288834E+02 
        70 -2.229859820E-01 -2.364118983E-01 -1.375766322E-02 -1.027513246E+02 
        71 -2.557825891E-01 -2.223174391E-01 -1.369792797E-02 -1.426179001E+02 
        72 -2.121926137E-01 -2.358055538E-01 -1.356187757E-02 -9.704239463E+01 
        73 -2.111990698E-01 -2.314790057E-01 -1.355306622E-02 -8.893096300E+01 
        74 -2.178095767E-01 -2.392479158E-01 -1.344538009E-02 -1.092693446E+02 
        75 -2.478980315E-01 -2.263817024E-01 -1.335668301E-02 -9.625075422E+01 
        76 -2.417561708E-01 -2.294951425E-01 -1.311849633E-02 -9.022886956E+01 
        77 -2.106610051E-01 -2.216798441E-01 -1.271973974E-02 -6.493561255E+01 
        78 -2.318904657E-01 -2.349782049E-01 -1.248232989E-02 -9.574695957E+01 
        79 -2.115928835E-01 -2.172018219E-01 -1.247918510E-02 -5.777767502E+01 
        80 -2.221985728E-01 -2.038395818E-01 -1.239705630E-02 -5.643167285E+01 
        81 -2.555603471E-01 -2.252687510E-01 -1.219573269E-02 -1.436439821E+02 
        82 -2.258852566E-01 -2.381877359E-01 -1.216243655E-02 -9.859653078E+01 
        83 -2.297886994E-01 -2.011578076E-01 -1.212169300E-02 -6.075385966E+01 
        84 -2.175280645E-01 -2.419966516E-01 -1.206328072E-02 -1.156526663E+02 
        85 -2.153773402E-01 -2.430946978E-01 -1.197577001E-02 -1.114475173E+02 
        86 -2.504482829E-01 -2.279691404E-01 -1.194014107E-02 -1.108287241E+02 
        87 -2.558471368E-01 -2.156177860E-01 -1.191929017E-02 -8.166287053E+01 
        88 -2.579425742E-01 -2.198449217E-01 -1.171045960E-02 -9.215093986E+01 
        89 -2.420497776E-01 -2.329423989E-01 -1.123777570E-02 -9.457164321E+01 
        90 -2.464853331E-01 -2.048592139E-01 -1.116413701E-02 -5.973759203E+01 
        91 -2.502188869E-01 -2.078213126E-01 -1.116207038E-02 -6.214619574E+01 
        92 -2.345016086E-01 -2.367698057E-01 -1.094448527E-02 -9.169983091E+01 
        93 -2.152151726E-01 -2.079385718E-01 -1.084365859E-02 -5.481204248E+01 
        94 -2.252858951E-01 -2.009158518E-01 -1.081042743E-02 -5.976253208E+01 
        95 -2.256459691E-01 -2.410231324E-01 -1.072511676E-02 -9.794483388E+01 
        96 -2.201712615E-01 -2.435927911E-01 -1.062097208E-02 -1.129943208E+02 
        97 -2.583003226E-01 -2.277115688E-01 -1.028587907E-02 -1.487929334E+02 
        98 -2.395342726E-01 -2.359400097E-01 -1.023394569E-02 -9.150053435E+01 
        99 -2.509194383E-01 -2.311610901E-01 -1.015327947E-02 -1.089947682E+02 
       100 -2.598756458E-01 -2.273830133E-01 -1.009967320E-02 -1.295595107E+02 
       101 -2.177434156E-01 -2.044212224E-01 -1.005958117E-02 -5.653217837E+01 
       102 -2.377165297E-01 -2.000078227E-01 -1.004560878E-02 -6.302322250E+01 
