nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -1.642952098E-03  7.041477184E-02 -2.857631748E-02 -2.338502313E+01 
         2  2.661998629E-03  7.025600451E-02 -2.857370095E-02 -2.279550440E+01 
         3 -3.441904127E-03  6.728747409E-02 -2.845400660E-02 -2.312873433E+01 
         4 -9.039998642E-03  7.039360547E-02 -2.840524432E-02 -2.582890401E+01 
         5 -7.261716184E-03  6.733923934E-02 -2.840412071E-02 -2.466239667E+01 
         6  9.374119918E-03  6.768632345E-02 -2.839476131E-02 -2.141519941E+01 
         7  4.012179145E-03  6.700200457E-02 -2.837756265E-02 -2.139614330E+01 
         8  9.714116236E-03  7.145185707E-02 -2.836575763E-02 -2.447342955E+01 
         9  1.595087668E-02  6.896732109E-02 -2.836227078E-02 -2.350826653E+01 
        10 -1.281560797E-02  7.044697369E-02 -2.834217550E-02 -2.773369682E+01 
        11 -1.469900321E-02  6.740528822E-02 -2.826875656E-02 -2.837647410E+01 
        12  1.896493458E-02  6.884220167E-02 -2.826040557E-02 -2.433177296E+01 
        13  1.371415406E-02  6.620738080E-02 -2.823840493E-02 -2.107672004E+01 
        14  1.397735007E-02  7.232182817E-02 -2.822288991E-02 -2.626642266E+01 
        15  7.493503673E-03  6.620005784E-02 -2.817877920E-02 -2.103242912E+01 
        16 -1.836572060E-02  6.732957538E-02 -2.816959769E-02 -3.058649699E+01 
        17 -3.303931541E-03  7.354397380E-02 -2.815371319E-02 -2.642042642E+01 
        18  4.387521395E-03  7.318446695E-02 -2.814835015E-02 -2.607399556E+01 
        19 -2.080729070E-03  6.486446849E-02 -2.811216693E-02 -2.308802740E+01 
        20 -2.053744055E-02  7.070490427E-02 -2.808438722E-02 -3.231651613E+01 
        21 -7.104348358E-03  7.360927691E-02 -2.804547766E-02 -2.725553224E+01 
        22  1.882931120E-03  6.450154927E-02 -2.800050741E-02 -2.196720187E+01 
        23  7.739224962E-03  7.351620097E-02 -2.799936164E-02 -2.743645185E+01 
        24  2.099288701E-02  7.191170295E-02 -2.791216908E-02 -2.887335656E+01 
        25 -2.389423879E-02  7.048288969E-02 -2.786269053E-02 -3.437669435E+01 
        26  2.644220459E-02  6.856048258E-02 -2.784040251E-02 -2.676668482E+01 
        27 -1.461099671E-02  7.381287277E-02 -2.776228334E-02 -3.066777097E+01 
        28  2.085938360E-02  6.505183113E-02 -2.770340259E-02 -2.213232616E+01 
        29  2.427688213E-02  7.194909929E-02 -2.769791693E-02 -3.036291718E+01 
        30 -2.513871828E-02  7.196406732E-02 -2.769674905E-02 -3.648119148E+01 
        31 -2.580926248E-02  6.655114373E-02 -2.769568198E-02 -3.454535965E+01 
        32  2.975831266E-02  6.857281636E-02 -2.763470596E-02 -2.860491316E+01 
        33 -1.862458631E-02  7.394400926E-02 -2.762170337E-02 -3.304722999E+01 
        34 -9.250247485E-03  6.370133878E-02 -2.758603482E-02 -2.658558360E+01 
        35  2.413709906E-02  6.491491380E-02 -2.756787787E-02 -2.314486717E+01 
        36 -1.251011336E-02  6.362175450E-02 -2.752045735E-02 -2.836548203E+01 
        37  1.435250831E-02  6.338121729E-02 -2.751279798E-02 -2.071124988E+01 
        38  1.510103570E-02  7.486605785E-02 -2.750626060E-02 -3.142699108E+01 
        39 -2.024612780E-02  6.387773683E-02 -2.749594715E-02 -3.223285981E+01 
        40 -2.944185255E-02  6.654309617E-02 -2.747432145E-02 -3.604683503E+01 
        41 -1.487517723E-03  7.638565200E-02 -2.733769030E-02 -3.025711195E+01 
        42 -2.383295068E-02  6.380465010E-02 -2.733175607E-02 -3.404460130E+01 
        43 -3.139952984E-02  7.042054460E-02 -2.730554921E-02 -3.808931989E+01 
        44  2.115617992E-03  7.649110301E-02 -2.727755709E-02 -3.049197304E+01 
        45  1.882375904E-02  7.520862696E-02 -2.726409984E-02 -3.308601820E+01 
        46 -3.013238481E-02  7.192810886E-02 -2.726212847E-02 -3.858017928E+01 
        47  3.188655225E-02  6.522062835E-02 -2.725290318E-02 -2.632341758E+01 
        48  3.189162671E-02  7.200400872E-02 -2.714437542E-02 -3.408420632E+01 
        49 -3.684457130E-02  6.719842962E-02 -2.714182801E-02 -3.936338664E+01 
        50  1.850125490E-02  6.236133804E-02 -2.712591326E-02 -2.096177601E+01 
        51  8.268950678E-03  6.221167923E-02 -2.712506403E-02 -2.132342479E+01 
        52 -8.794801348E-03  7.656946111E-02 -2.708737293E-02 -3.137803667E+01 
        53 -3.464582985E-02  7.061395099E-02 -2.706292324E-02 -4.011051691E+01 
