nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1  5.847885832E-02 -1.255195579E-02 -5.712442919E-02 -7.656407074E+01 
         2  6.138667287E-02 -1.150969767E-02 -5.608217107E-02 -9.442787577E+01 
         3  5.787484433E-02 -1.012973396E-02 -5.470220736E-02 -8.805381287E+01 
         4  5.850313794E-02 -1.530275156E-02 -5.456835961E-02 -4.875698165E+01 
         5  6.056431192E-02 -9.927500637E-03 -5.449997404E-02 -1.087583747E+02 
         6  6.759118459E-02 -9.285793225E-03 -5.385826662E-02 -6.919539680E+01 
         7  5.790703217E-02 -1.211335987E-02 -5.297674368E-02 -4.901604125E+01 
         8  5.814736236E-02 -1.409816743E-02 -5.291948000E-02 -4.838480513E+01 
         9  6.694139547E-02 -8.158313377E-03 -5.273078678E-02 -6.904882048E+01 
        10  6.176146581E-02 -8.007156001E-03 -5.257962940E-02 -8.452810783E+01 
        11  7.328993981E-02 -7.243169603E-03 -5.181564300E-02 -6.341978779E+01 
        12  7.249469435E-02 -6.037854523E-03 -5.061032792E-02 -6.330338288E+01 
        13  6.063473944E-02 -5.894926098E-03 -5.046739950E-02 -8.613961522E+01 
        14  5.680977656E-02 -5.858595393E-03 -5.043106879E-02 -7.435398299E+01 
        15  6.892863750E-02 -5.721787942E-03 -5.029426134E-02 -6.650652043E+01 
        16  5.900519759E-02 -5.370601626E-03 -4.994307503E-02 -9.311696343E+01 
        17  7.858070653E-02 -5.346782386E-03 -4.991925579E-02 -6.063054777E+01 
        18  5.682586599E-02 -7.098032328E-03 -4.932067429E-02 -4.810061409E+01 
        19  6.816129249E-02 -4.644345601E-03 -4.921681900E-02 -6.661439492E+01 
        20  5.700026492E-02 -8.816315320E-03 -4.900114226E-02 -4.733012750E+01 
        21  5.855635027E-02 -2.133162957E-02 -4.896625882E-02 -4.500016708E+01 
        22  7.439902375E-02 -4.373696719E-03 -4.894617012E-02 -6.145088019E+01 
        23  6.367100407E-02 -3.777128865E-03 -4.834960226E-02 -7.027557776E+01 
        24  8.363384761E-02 -3.535566729E-03 -4.810804013E-02 -6.056443730E+01 
        25  5.783236865E-02 -1.657410452E-02 -4.791716388E-02 -4.599861822E+01 
        26  7.951914200E-02 -2.909964803E-03 -4.748243820E-02 -6.086861229E+01 
        27  5.821426553E-02 -2.008330599E-02 -4.747092739E-02 -4.438500757E+01 
        28  8.308446369E-02 -2.812811803E-03 -4.738528520E-02 -6.083595404E+01 
        29  5.588734505E-02 -2.159461559E-03 -4.673193496E-02 -6.970593857E+01 
        30  6.938012948E-02 -2.055030192E-03 -4.662750359E-02 -6.413580840E+01 
        31  5.776148600E-02 -1.879723398E-03 -4.645219680E-02 -8.525324767E+01 
        32  7.378145460E-02 -1.801955645E-03 -4.637442905E-02 -6.219665296E+01 
        33  8.858134573E-02 -1.762216736E-03 -4.633469014E-02 -6.022125185E+01 
        34  6.341999223E-02 -1.667684293E-03 -4.624015769E-02 -6.885075238E+01 
        35  7.297238718E-02 -1.394595241E-03 -4.596706864E-02 -6.276232766E+01 
        36  8.387759080E-02 -1.307204591E-03 -4.587967799E-02 -6.089618909E+01 
        37  8.801826010E-02 -1.097660375E-03 -4.567013377E-02 -6.038808739E+01 
        38  5.679770847E-02 -1.054182879E-02 -4.565104892E-02 -4.705898114E+01 
        39  7.792336338E-02 -9.493444307E-04 -4.552181783E-02 -6.165109217E+01 
        40  5.863733700E-02 -9.341610085E-04 -4.550663441E-02 -7.518741233E+01 
        41  5.590738670E-02 -3.596927253E-03 -4.545520993E-02 -4.790436879E+01 
        42  8.340138639E-02 -5.187085874E-04 -4.509118199E-02 -6.118142125E+01 
        43  6.733922778E-02 -5.172860278E-04 -4.508975943E-02 -6.553136168E+01 
        44  6.164221827E-02 -5.138384341E-04 -4.508631183E-02 -6.859100030E+01 
        45  5.711801052E-02 -1.372809352E-02 -4.503373778E-02 -4.664937390E+01 
