nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -1.572937951E-01 -3.080982124E-01 -4.024264342E-01 -1.076970146E+02 
         2 -1.478313731E-01 -3.106159808E-01 -4.022682394E-01 -1.105122328E+02 
         3 -1.669798512E-01 -3.071080217E-01 -4.010012815E-01 -1.069993744E+02 
         4 -1.568342709E-01 -3.061608399E-01 -4.005846567E-01 -8.241416746E+01 
         5 -1.486609069E-01 -3.122269565E-01 -4.004504169E-01 -1.198757741E+02 
         6 -1.472999878E-01 -3.085493272E-01 -4.003966870E-01 -9.458285644E+01 
         7 -1.574676983E-01 -3.100933974E-01 -4.003878900E-01 -1.252941200E+02 
         8 -1.394404260E-01 -3.150158833E-01 -3.999607382E-01 -1.080042248E+02 
         9 -1.400968712E-01 -3.155189774E-01 -3.992939537E-01 -1.103708317E+02 
        10 -1.667024974E-01 -3.089045948E-01 -3.992738589E-01 -1.225050866E+02 
        11 -1.665598812E-01 -3.053482807E-01 -3.992441859E-01 -8.628009052E+01 
        12 -1.765544888E-01 -3.067499559E-01 -3.989717763E-01 -1.080038991E+02 
        13 -1.536295897E-01 -3.126152293E-01 -3.988231482E-01 -1.179761214E+02 
        14 -1.512181419E-01 -3.051825357E-01 -3.986938946E-01 -8.845325415E+01 
        15 -1.455147809E-01 -3.150269384E-01 -3.984349655E-01 -1.113348044E+02 
        16 -1.763984958E-01 -3.076153622E-01 -3.981452652E-01 -1.177981120E+02 
        17 -1.628187381E-01 -3.110896689E-01 -3.980572528E-01 -1.177786402E+02 
        18 -1.388595581E-01 -3.129572586E-01 -3.980321431E-01 -1.057379320E+02 
        19 -1.609349168E-01 -3.035842860E-01 -3.980085593E-01 -8.462943088E+01 
        20 -1.421183182E-01 -3.086697133E-01 -3.974340423E-01 -1.046708848E+02 
        21 -1.761097701E-01 -3.050110700E-01 -3.972348910E-01 -9.660613593E+01 
        22 -1.711078684E-01 -3.103088538E-01 -3.967710564E-01 -1.140031212E+02 
        23 -1.857976776E-01 -3.067781102E-01 -3.966386860E-01 -1.090682496E+02 
        24 -1.706032823E-01 -3.031226603E-01 -3.962270391E-01 -9.491392043E+01 
        25 -1.387807226E-01 -3.192662736E-01 -3.958748675E-01 -1.046950380E+02 
        26 -1.329329595E-01 -3.209604636E-01 -3.956389171E-01 -1.006501358E+02 
        27 -1.338811636E-01 -3.213001270E-01 -3.950628006E-01 -1.038029071E+02 
        28 -1.799137845E-01 -3.099604158E-01 -3.949236110E-01 -1.126362022E+02 
        29 -1.853415972E-01 -3.048968795E-01 -3.948836427E-01 -1.015691509E+02 
        30 -1.503526658E-01 -3.012885751E-01 -3.948167533E-01 -9.216180843E+01 
        31 -1.851333325E-01 -3.088202927E-01 -3.947621646E-01 -1.156797640E+02 
        32 -1.544792725E-01 -3.166381150E-01 -3.945883806E-01 -1.017937664E+02 
        33 -1.601894856E-01 -3.000180470E-01 -3.944223229E-01 -8.981630014E+01 
        34 -1.800388908E-01 -3.028920032E-01 -3.942319107E-01 -1.035418208E+02 
        35 -1.345514503E-01 -3.140050686E-01 -3.939092088E-01 -1.042754234E+02 
        36 -1.322814458E-01 -3.188350103E-01 -3.936352717E-01 -9.647778256E+01 
        37 -1.472725329E-01 -3.194215269E-01 -3.936020655E-01 -1.017042059E+02 
        38 -1.412295972E-01 -3.047978242E-01 -3.934731106E-01 -1.094147499E+02 
        39 -1.943170622E-01 -3.080788571E-01 -3.932135125E-01 -1.013785208E+02 
        40 -1.629488966E-01 -3.159078782E-01 -3.932065848E-01 -1.023020361E+02 
        41 -1.698190385E-01 -2.997049334E-01 -3.927974095E-01 -1.031840606E+02 
        42 -1.544989767E-01 -2.984122700E-01 -3.927865127E-01 -8.912047873E+01 
        43 -1.716221840E-01 -3.141857817E-01 -3.927658663E-01 -1.030761842E+02 
        44 -1.498888396E-01 -3.197324035E-01 -3.926387732E-01 -1.004078123E+02 
        45 -1.430234892E-01 -3.214708447E-01 -3.926122988E-01 -1.007834660E+02 
        46 -1.451419255E-01 -3.007714031E-01 -3.923530361E-01 -1.019013461E+02 
        47 -1.875182386E-01 -3.106651239E-01 -3.923226193E-01 -1.087818943E+02 
        48 -1.598195836E-01 -3.176224852E-01 -3.922723216E-01 -1.005573628E+02 
        49 -1.643158561E-01 -2.976730664E-01 -3.916099841E-01 -9.712022578E+01 
        50 -1.929093123E-01 -3.100633283E-01 -3.915800790E-01 -1.063482151E+02 
        51 -1.890785785E-01 -3.033410358E-01 -3.914800754E-01 -1.035827016E+02 
        52 -1.938846187E-01 -3.060716486E-01 -3.913542983E-01 -9.637210942E+01 
        53 -1.346964145E-01 -3.249584821E-01 -3.912011402E-01 -1.010659826E+02 
        54 -1.774502036E-01 -3.143149072E-01 -3.911834458E-01 -1.025587676E+02 
        55 -1.682216257E-01 -3.166657406E-01 -3.911338840E-01 -1.013066869E+02 
        56 -1.791388659E-01 -2.994114889E-01 -3.907500530E-01 -1.138258496E+02 
        57 -1.336607400E-01 -3.099954915E-01 -3.899368187E-01 -1.101825692E+02 
        58 -1.738213705E-01 -2.975691435E-01 -3.898686390E-01 -1.124276710E+02 
        59 -1.287298213E-01 -3.277830608E-01 -3.898644161E-01 -9.510840978E+01 
        60 -1.366492738E-01 -3.053073031E-01 -3.898308749E-01 -1.156434919E+02 
        61 -1.415827551E-01 -3.249073393E-01 -3.895350606E-01 -9.922488723E+01 
        62 -1.947824833E-01 -3.120615806E-01 -3.891147284E-01 -9.866570698E+01 
        63 -1.315048616E-01 -3.280714680E-01 -3.888840014E-01 -1.013988499E+02 
        64 -1.637985888E-01 -2.950688762E-01 -3.887806764E-01 -9.780862513E+01 
        65 -1.793181931E-01 -3.163429800E-01 -3.886895648E-01 -1.001765427E+02 
        66 -1.291951249E-01 -3.205273044E-01 -3.885849188E-01 -9.158511407E+01 
        67 -1.539525260E-01 -2.946447071E-01 -3.885455172E-01 -8.762479061E+01 
        68 -1.443668543E-01 -2.973457001E-01 -3.885343673E-01 -1.046608067E+02 
        69 -2.014573536E-01 -3.112119982E-01 -3.882998442E-01 -9.308657262E+01 
        70 -1.880920177E-01 -2.997004183E-01 -3.879427939E-01 -1.133044936E+02 
        71 -1.848563121E-01 -3.158144787E-01 -3.878370553E-01 -9.934322574E+01 
        72 -1.427152992E-01 -3.264231649E-01 -3.877368176E-01 -9.886455239E+01 
        73 -1.280976268E-01 -3.255968894E-01 -3.877081224E-01 -8.723976610E+01 
        74 -2.003105863E-01 -3.121174641E-01 -3.876803416E-01 -9.657499624E+01 
        75 -1.829433042E-01 -2.974020415E-01 -3.876390558E-01 -1.189484807E+02 
        76 -1.521821812E-01 -3.245705261E-01 -3.872287637E-01 -9.762504347E+01 
        77 -1.971648222E-01 -3.054742407E-01 -3.872201650E-01 -9.464599297E+01 
        78 -1.588783896E-01 -3.230435539E-01 -3.870859407E-01 -9.722488342E+01 
        79 -1.580231641E-01 -2.928656016E-01 -3.865110846E-01 -8.901043275E+01 
        80 -2.010851096E-01 -3.091730012E-01 -3.864128333E-01 -9.039183233E+01 
        81 -1.490112517E-01 -2.937034640E-01 -3.863370819E-01 -9.353890913E+01 
        82 -1.360585532E-01 -3.017761541E-01 -3.859680917E-01 -1.208187921E+02 
        83 -1.505915029E-01 -3.262434639E-01 -3.859524813E-01 -9.743518666E+01 
        84 -1.728803773E-01 -2.939215756E-01 -3.858266756E-01 -1.162721429E+02 
        85 -1.696210062E-01 -3.218728676E-01 -3.855778030E-01 -9.760318629E+01 
        86 -1.872587188E-01 -3.175938174E-01 -3.854586474E-01 -9.677775103E+01 
        87 -1.300572250E-01 -3.112026212E-01 -3.852919363E-01 -1.029844829E+02 
        88 -1.922636869E-01 -3.165669170E-01 -3.852374927E-01 -9.575087862E+01 
        89 -1.395939379E-01 -2.974818083E-01 -3.851862380E-01 -1.172985689E+02 
        90 -1.332381620E-01 -3.313992667E-01 -3.851239711E-01 -1.002360426E+02 
        91 -1.682708691E-01 -2.926145668E-01 -3.849616278E-01 -1.078344185E+02 
        92 -1.821130243E-01 -2.946878489E-01 -3.847025186E-01 -1.250696716E+02 
        93 -1.282558666E-01 -3.162956249E-01 -3.845466151E-01 -9.323657429E+01 
        94 -1.399545483E-01 -3.306310012E-01 -3.842174147E-01 -9.860078802E+01 
        95 -1.753269460E-01 -3.219516516E-01 -3.840761646E-01 -9.696926262E+01 
        96 -1.916976273E-01 -2.983805706E-01 -3.839392759E-01 -1.122383694E+02 
        97 -2.010786734E-01 -3.158828058E-01 -3.837234640E-01 -9.439772085E+01 
        98 -1.640550547E-01 -3.253752375E-01 -3.834633797E-01 -9.486637142E+01 
        99 -1.762605872E-01 -2.925084931E-01 -3.833883613E-01 -1.237319858E+02 
       100 -1.961835461E-01 -3.016005033E-01 -3.833803205E-01 -1.028062750E+02 
       101 -1.270545714E-01 -3.352136124E-01 -3.828515889E-01 -9.508187197E+01 
       102 -1.482237885E-01 -2.912577370E-01 -3.827762045E-01 -9.226977543E+01 
       103 -1.955783148E-01 -3.184128126E-01 -3.825650524E-01 -9.470279565E+01 
       104 -1.306549698E-01 -3.348678357E-01 -3.822995616E-01 -1.040595395E+02 
       105 -2.064835337E-01 -3.160224879E-01 -3.822360133E-01 -9.443989136E+01 
       106 -1.586615714E-01 -2.898410447E-01 -3.820133922E-01 -8.756276259E+01 
       107 -2.044115803E-01 -3.169591955E-01 -3.818159723E-01 -9.598749700E+01 
       108 -1.263460711E-01 -3.277476960E-01 -3.817029746E-01 -8.541199180E+01 
       109 -2.034565603E-01 -3.095719102E-01 -3.815762327E-01 -9.406287828E+01 
       110 -1.322580924E-01 -3.028046564E-01 -3.815102619E-01 -1.193192318E+02 
       111 -1.392476131E-01 -2.946793902E-01 -3.814841256E-01 -1.204379848E+02 
       112 -1.296905912E-01 -3.074381311E-01 -3.813442495E-01 -1.071758981E+02 
       113 -1.512625037E-01 -3.309056639E-01 -3.811229579E-01 -9.612778367E+01 
       114 -1.663429305E-01 -2.896197690E-01 -3.809484161E-01 -9.947207623E+01 
       115 -1.856649061E-01 -3.226005101E-01 -3.808494036E-01 -9.450120303E+01 
       116 -1.783176134E-01 -3.245595549E-01 -3.807225002E-01 -9.340448595E+01 
       117 -1.572886126E-01 -2.889374277E-01 -3.805932962E-01 -7.816157680E+01 
       118 -1.264218853E-01 -3.329731951E-01 -3.805858411E-01 -8.419161344E+01 
       119 -1.506303227E-01 -2.892443694E-01 -3.805151989E-01 -7.978086879E+01 
       120 -1.857484540E-01 -2.929070923E-01 -3.804276624E-01 -1.270573551E+02 
       121 -2.061166255E-01 -3.140770039E-01 -3.803499680E-01 -9.531835205E+01 
       122 -1.901943453E-01 -2.948330161E-01 -3.800383390E-01 -1.200313805E+02 
       123 -1.424405315E-01 -2.915029161E-01 -3.800259463E-01 -1.063325592E+02 
       124 -1.433152838E-01 -3.340752954E-01 -3.799350819E-01 -9.795466914E+01 
       125 -1.953665073E-01 -3.216294282E-01 -3.794012538E-01 -9.501969346E+01 
       126 -1.635056868E-01 -3.297538795E-01 -3.792217271E-01 -9.142815996E+01 
       127 -1.673358001E-01 -2.885572093E-01 -3.790549089E-01 -1.029449669E+02 
       128 -1.260077861E-01 -3.179094015E-01 -3.789709391E-01 -8.975715766E+01 
       129 -1.989775629E-01 -3.014574219E-01 -3.788674027E-01 -1.025978213E+02 
       130 -1.763406056E-01 -2.895283957E-01 -3.788573026E-01 -1.266451537E+02 
       131 -2.039617398E-01 -3.202678550E-01 -3.786194870E-01 -9.689816772E+01 
       132 -1.893194528E-01 -3.243431635E-01 -3.781954400E-01 -9.381047302E+01 
       133 -1.562127411E-01 -3.329949372E-01 -3.777992708E-01 -9.278368816E+01 
       134 -1.322649141E-01 -2.997065889E-01 -3.777990173E-01 -1.258697178E+02 
       135 -2.025142211E-01 -3.058595630E-01 -3.777739857E-01 -1.002904474E+02 
       136 -1.254770605E-01 -3.233715005E-01 -3.777043737E-01 -8.696102571E+01 
       137 -1.745629166E-01 -2.885009844E-01 -3.775179167E-01 -1.183925919E+02 
       138 -1.984975080E-01 -3.227439881E-01 -3.775059322E-01 -9.523353570E+01 
       139 -1.350589882E-01 -2.956733899E-01 -3.774316320E-01 -1.300627468E+02 
       140 -1.337550434E-01 -3.391359847E-01 -3.772583654E-01 -1.045670982E+02 
       141 -1.420208519E-01 -3.370900336E-01 -3.772431252E-01 -9.806413771E+01 
       142 -1.830667745E-01 -2.898990164E-01 -3.766387314E-01 -1.295037876E+02 
       143 -1.272756827E-01 -3.089073050E-01 -3.762818384E-01 -1.003717050E+02 
       144 -1.421877067E-01 -2.892895454E-01 -3.759471980E-01 -1.040397492E+02 
       145 -1.493662264E-01 -2.869467141E-01 -3.758737197E-01 -7.214629278E+01 
       146 -1.580273429E-01 -2.864053354E-01 -3.757471824E-01 -6.859098808E+01 
       147 -2.076328519E-01 -3.223372154E-01 -3.756346927E-01 -9.971463865E+01 
       148 -2.090171031E-01 -3.220165465E-01 -3.756101836E-01 -9.843922512E+01 
       149 -1.929040771E-01 -2.943716767E-01 -3.755669346E-01 -1.159037173E+02 
       150 -1.835097695E-01 -2.893687768E-01 -3.753574095E-01 -1.302657432E+02 
       151 -1.256877160E-01 -3.140879350E-01 -3.753185393E-01 -9.282772571E+01 
       152 -1.764742220E-01 -3.306551379E-01 -3.750865913E-01 -8.972137257E+01 
       153 -2.072600650E-01 -3.152419440E-01 -3.749471652E-01 -1.027982830E+02 
       154 -1.976953888E-01 -2.981241771E-01 -3.748234286E-01 -1.076187567E+02 
       155 -1.653985701E-01 -2.862333785E-01 -3.748203765E-01 -8.807181621E+01 
       156 -1.277426705E-01 -3.431687721E-01 -3.747248629E-01 -9.892513153E+01 
       157 -1.317914968E-01 -3.422513408E-01 -3.746326524E-01 -1.067271794E+02 
       158 -1.707485937E-01 -3.329824832E-01 -3.741870051E-01 -8.890544207E+01 
       159 -1.895154265E-01 -3.283486697E-01 -3.741410649E-01 -9.218449080E+01 
       160 -1.453376810E-01 -2.871240534E-01 -3.741194012E-01 -8.266430532E+01 
       161 -1.259696719E-01 -3.352381851E-01 -3.738395501E-01 -8.703327773E+01 
       162 -1.352371139E-01 -2.932679946E-01 -3.738028098E-01 -1.313467044E+02 
       163 -2.086265993E-01 -3.200915526E-01 -3.736793081E-01 -1.010479520E+02 
       164 -1.991800930E-01 -3.264502863E-01 -3.736294245E-01 -9.548174512E+01 
       165 -1.613204552E-01 -2.855365926E-01 -3.735646483E-01 -7.022515098E+01 
       166 -1.529527891E-01 -2.854108510E-01 -3.732030731E-01 -6.080609086E+01 
       167 -1.382003870E-01 -2.901682503E-01 -3.728851273E-01 -1.192332501E+02 
       168 -1.547386130E-01 -3.384164637E-01 -3.727453349E-01 -9.264457334E+01 
       169 -1.746242901E-01 -2.861241120E-01 -3.726913505E-01 -1.135435013E+02 
       170 -1.293895024E-01 -3.010973823E-01 -3.726359495E-01 -1.174798623E+02 
       171 -2.042000452E-01 -3.066392091E-01 -3.726208672E-01 -1.054043350E+02 
       172 -1.271205199E-01 -3.411070499E-01 -3.725965018E-01 -9.045233500E+01 
       173 -1.464184196E-01 -3.409593768E-01 -3.722771781E-01 -9.606490814E+01 
       174 -1.275240446E-01 -3.052473111E-01 -3.721666486E-01 -1.045549140E+02 
       175 -2.048255357E-01 -3.266430993E-01 -3.720288476E-01 -1.002454297E+02 
       176 -1.913979555E-01 -2.919883417E-01 -3.718808490E-01 -1.195085913E+02 
       177 -1.888127304E-01 -2.902143570E-01 -3.717389891E-01 -1.270623363E+02 
       178 -1.830990382E-01 -3.324974305E-01 -3.715923162E-01 -8.922757789E+01 
       179 -1.953319291E-01 -3.295207497E-01 -3.715185577E-01 -9.381899410E+01 
       180 -2.063006088E-01 -3.116033847E-01 -3.713242714E-01 -1.088414977E+02 
       181 -1.245125060E-01 -3.250736139E-01 -3.708155204E-01 -8.653175795E+01 
       182 -1.695863655E-01 -2.847819200E-01 -3.706552005E-01 -9.449937399E+01 
       183 -1.450715333E-01 -2.857062908E-01 -3.701574798E-01 -7.286399990E+01 
       184 -1.805931055E-01 -2.863444957E-01 -3.700902233E-01 -1.294331305E+02 
       185 -1.995493647E-01 -2.988122644E-01 -3.700520852E-01 -1.065369176E+02 
       186 -1.247566521E-01 -3.152208360E-01 -3.700456817E-01 -9.312916135E+01 
       187 -1.526991623E-01 -2.843642872E-01 -3.700283136E-01 -4.754988583E+01 
       188 -1.324662668E-01 -2.943561461E-01 -3.699431544E-01 -1.357872578E+02 
       189 -1.298535960E-01 -2.984142098E-01 -3.697039477E-01 -1.267863387E+02 
       190 -1.786159541E-01 -2.857192965E-01 -3.694948248E-01 -1.194179380E+02 
       191 -1.250044102E-01 -3.305731863E-01 -3.693379190E-01 -8.861600136E+01 
       192 -1.383982861E-01 -2.884430128E-01 -3.691220151E-01 -1.145237023E+02 
       193 -1.605950584E-01 -2.839014421E-01 -3.690912595E-01 -5.331024854E+01 
       194 -2.067887641E-01 -3.291142108E-01 -3.690681829E-01 -1.062529255E+02 
       195 -2.028437387E-01 -3.033376550E-01 -3.688562512E-01 -1.065885362E+02 
       196 -2.095500940E-01 -3.288034219E-01 -3.686904007E-01 -1.015444275E+02 
       197 -1.360772184E-01 -3.472200207E-01 -3.685952832E-01 -1.029086131E+02 
