nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -5.889564008E-02 -1.422333121E-02 -5.879580461E-02 -6.864150707E+01 
         2 -6.211064178E-02 -1.307096703E-02 -5.764344043E-02 -8.407877425E+01 
         3 -5.824805667E-02 -1.162638974E-02 -5.619886314E-02 -7.737537520E+01 
         4 -6.117672193E-02 -1.142979978E-02 -5.600227318E-02 -9.474505457E+01 
         5 -5.887090811E-02 -1.682716155E-02 -5.599360931E-02 -4.875420842E+01 
         6 -6.885929882E-02 -1.065202171E-02 -5.522449511E-02 -6.358347322E+01 
         7 -5.828882181E-02 -1.373423894E-02 -5.441797200E-02 -4.822483826E+01 
         8 -5.848679651E-02 -1.538357279E-02 -5.435647277E-02 -4.832923149E+01 
         9 -6.242621234E-02 -9.360171313E-03 -5.393264471E-02 -7.526400878E+01 
        10 -6.774256804E-02 -8.868553060E-03 -5.344102646E-02 -6.350712954E+01 
        11 -7.530381783E-02 -8.342090465E-03 -5.291456387E-02 -6.035013199E+01 
        12 -5.711645423E-02 -7.088439365E-03 -5.166091276E-02 -6.560819376E+01 
        13 -7.425871120E-02 -6.789899621E-03 -5.136237302E-02 -6.051353668E+01 
        14 -6.022729738E-02 -6.720945482E-03 -5.129341888E-02 -7.917211687E+01 
        15 -6.946026380E-02 -6.714368648E-03 -5.128684205E-02 -6.160280240E+01 
        16 -8.144627646E-02 -6.140428789E-03 -5.071290219E-02 -6.132365735E+01 
        17 -5.712138250E-02 -8.589818162E-03 -5.019905128E-02 -4.719543324E+01 
        18 -5.728714532E-02 -1.008161825E-02 -5.003673645E-02 -4.743671382E+01 
        19 -5.881757569E-02 -2.244202871E-02 -4.995099168E-02 -4.664044305E+01 
        20 -6.077508499E-02 -5.291960765E-03 -4.986443416E-02 -7.094510724E+01 
        21 -6.857681434E-02 -5.256105287E-03 -4.982857869E-02 -6.276027910E+01 
        22 -8.067139755E-02 -5.090569408E-03 -4.966304281E-02 -6.182413708E+01 
        23 -7.641769922E-02 -4.711619366E-03 -4.928409277E-02 -6.136162212E+01 
        24 -5.816345970E-02 -1.811649068E-02 -4.903026410E-02 -4.728889790E+01 
        25 -5.852309193E-02 -2.131626498E-02 -4.871488096E-02 -4.602244409E+01 
        26 -6.382648379E-02 -4.011302526E-03 -4.858377593E-02 -6.373217306E+01 
        27 -8.743936751E-02 -3.992304414E-03 -4.856477781E-02 -6.083682938E+01 
        28 -8.672656514E-02 -3.150798828E-03 -4.772327223E-02 -6.106467854E+01 
        29 -5.606357106E-02 -2.866165714E-03 -4.743863911E-02 -6.038544435E+01 
        30 -8.281360403E-02 -2.829559609E-03 -4.740203301E-02 -6.224160890E+01 
        31 -5.785781583E-02 -2.614211612E-03 -4.718668501E-02 -7.037538355E+01 
        32 -7.542961470E-02 -2.374328446E-03 -4.694680185E-02 -6.323455397E+01 
        33 -7.010701882E-02 -2.364265005E-03 -4.693673840E-02 -6.271487697E+01 
        34 -5.714742235E-02 -1.249788431E-02 -4.649984237E-02 -4.770271646E+01 
        35 -9.344936501E-02 -1.838118996E-03 -4.641059240E-02 -5.885342950E+01 
        36 -5.605674044E-02 -3.844811380E-03 -4.640520760E-02 -4.778517804E+01 
        37 -6.409838203E-02 -1.700000643E-03 -4.627247404E-02 -6.299067264E+01 
        38 -5.743980937E-02 -1.520393048E-02 -4.613886192E-02 -4.737149092E+01 
        39 -7.300576309E-02 -1.546148911E-03 -4.611862231E-02 -6.327010887E+01 
        40 -5.618443143E-02 -5.249317529E-03 -4.602483027E-02 -4.706603886E+01 
        41 -8.169369238E-02 -9.609431916E-04 -4.553341659E-02 -6.291723088E+01 
        42 -9.254682343E-02 -9.476933870E-04 -4.552016679E-02 -5.996521441E+01 
        43 -5.875440186E-02 -8.888893180E-04 -4.546136272E-02 -6.398982704E+01 
        44 -8.853003455E-02 -8.834177534E-04 -4.545589115E-02 -6.008419993E+01 
        45 -9.618019313E-02 -8.592978500E-04 -4.543177125E-02 -5.676110585E+01 
        46 -6.733604100E-02 -6.038141486E-04 -4.517628755E-02 -6.292207624E+01 
        47 -7.853213179E-02 -4.066239128E-04 -4.497909731E-02 -6.375020412E+01 
        48 -6.177276044E-02 -1.661471186E-04 -4.473862052E-02 -6.170543560E+01 
        49 -7.274986608E-02  1.820592748E-04 -4.439041412E-02 -6.453536130E+01 
        50 -6.736788679E-02  1.850201903E-04 -4.438745321E-02 -6.329429860E+01 
        51 -5.876334738E-02 -2.815116855E-02 -4.380692065E-02 -4.574009946E+01 
        52 -7.806714963E-02  8.411139704E-04 -4.373135943E-02 -6.446886748E+01 
        53 -6.205084833E-02  8.427761364E-04 -4.372969726E-02 -6.026381978E+01 
        54 -8.717636315E-02  8.875089558E-04 -4.368496444E-02 -6.069491784E+01 
        55 -5.510855285E-02  9.636555320E-04 -4.360881787E-02 -5.495714212E+01 
        56 -8.378098641E-02  1.117318508E-03 -4.345515489E-02 -6.205402991E+01 
        57 -9.403702157E-02  1.193166543E-03 -4.337930686E-02 -6.376989249E+01 
        58 -5.651112756E-02  1.210070555E-03 -4.336240284E-02 -6.052010170E+01 
        59 -5.805232168E-02 -2.304818417E-02 -4.320720089E-02 -4.605503635E+01 
        60 -5.604023852E-02 -6.920704338E-03 -4.319695521E-02 -4.684963929E+01 
