nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -8.991467208E-02 -1.502631850E-01 -1.966854994E-01 -9.230733783E+01 
         2 -9.231940221E-02 -1.501753630E-01 -1.961736692E-01 -8.757575803E+01 
         3 -8.959008305E-02 -1.482381227E-01 -1.955079513E-01 -9.364146714E+01 
         4 -9.230144271E-02 -1.487206818E-01 -1.952791819E-01 -9.123416091E+01 
         5 -9.112629915E-02 -1.481445003E-01 -1.951471634E-01 -9.392137976E+01 
         6 -9.807080557E-02 -1.499653146E-01 -1.949495192E-01 -8.053072162E+01 
         7 -8.946557029E-02 -1.490754639E-01 -1.947792712E-01 -9.457313844E+01 
         8 -9.791684260E-02 -1.486186085E-01 -1.941291404E-01 -8.706190943E+01 
         9 -9.508910172E-02 -1.474321908E-01 -1.939330156E-01 -9.152187718E+01 
        10 -1.046968008E-01 -1.497233260E-01 -1.935392204E-01 -7.521969615E+01 
        11 -8.892228541E-02 -1.445711238E-01 -1.929996447E-01 -9.525892521E+01 
        12 -9.031670030E-02 -1.445190286E-01 -1.927107330E-01 -9.704739834E+01 
        13 -8.878164111E-02 -1.453352338E-01 -1.922077390E-01 -9.407768717E+01 
        14 -1.043483114E-01 -1.475853258E-01 -1.921754715E-01 -8.134525837E+01 
        15 -1.010726725E-01 -1.465338061E-01 -1.921247458E-01 -8.630045546E+01 
        16 -1.124460446E-01 -1.494403183E-01 -1.918898482E-01 -7.051247876E+01 
        17 -9.436289105E-02 -1.443165059E-01 -1.917505240E-01 -9.649995975E+01 
        18 -9.157694631E-02 -1.436538503E-01 -1.917165069E-01 -9.746601480E+01 
        19 -8.859904048E-02 -1.455650654E-01 -1.913103889E-01 -9.384739161E+01 
        20 -1.001490856E-01 -1.448090466E-01 -1.911912737E-01 -9.207548424E+01 
        21 -9.544874050E-02 -1.437164625E-01 -1.910270177E-01 -9.499772441E+01 
        22 -8.853825017E-02 -1.469938175E-01 -1.907796171E-01 -9.548423303E+01 
        23 -1.120520451E-01 -1.471831161E-01 -1.904142187E-01 -7.615433160E+01 
        24 -1.206973880E-01 -1.491389711E-01 -1.901336046E-01 -6.706672475E+01 
        25 -1.077697497E-01 -1.454858578E-01 -1.900857119E-01 -8.099362701E+01 
        26 -8.815587681E-02 -1.412831867E-01 -1.899629928E-01 -9.393476024E+01 
        27 -9.030326958E-02 -1.411991517E-01 -1.895384071E-01 -9.575132830E+01 
        28 -1.203134000E-01 -1.469704982E-01 -1.887249778E-01 -7.213165527E+01 
        29 -8.790591206E-02 -1.429355697E-01 -1.885050492E-01 -9.313994546E+01 
        30 -1.283594771E-01 -1.488591451E-01 -1.885027817E-01 -6.492778508E+01 
        31 -8.785469965E-02 -1.429501362E-01 -1.882619387E-01 -9.252911399E+01 
        32 -1.158991056E-01 -1.450861177E-01 -1.882597854E-01 -7.560522016E+01 
        33 -1.007310553E-01 -1.418395953E-01 -1.882394482E-01 -8.965204379E+01 
        34 -9.592256203E-02 -1.408978855E-01 -1.882353135E-01 -9.292502973E+01 
        35 -9.120426782E-02 -1.399778018E-01 -1.879023197E-01 -9.312481411E+01 
        36 -1.280173408E-01 -1.469235858E-01 -1.872971547E-01 -6.924697331E+01 
        37 -9.486480502E-02 -1.399531313E-01 -1.872445855E-01 -9.128537328E+01 
        38 -1.065824590E-01 -1.418596263E-01 -1.871927674E-01 -8.287063218E+01 
        39 -1.348398740E-01 -1.486224750E-01 -1.871234738E-01 -6.384306448E+01 
        40 -1.239316977E-01 -1.450763312E-01 -1.867957407E-01 -7.238269934E+01 
        41 -8.758194492E-02 -1.441119775E-01 -1.867811007E-01 -9.167133929E+01 
        42 -1.027031485E-01 -1.408122198E-01 -1.867487943E-01 -8.492065135E+01 
        43 -1.346237213E-01 -1.476917492E-01 -1.865756616E-01 -6.686875721E+01 
        44 -8.757099723E-02 -1.455641576E-01 -1.864804970E-01 -9.427155575E+01 
        45 -8.726311802E-02 -1.383487740E-01 -1.862720479E-01 -9.015573780E+01 
        46 -1.302682495E-01 -1.458409101E-01 -1.861711651E-01 -6.911255135E+01 
        47 -1.403952752E-01 -1.484195853E-01 -1.859410428E-01 -6.438897360E+01 
        48 -8.929511338E-02 -1.382388219E-01 -1.858803281E-01 -8.843782799E+01 
        49 -8.719070538E-02 -1.390769369E-01 -1.858068883E-01 -9.184543077E+01 
        50 -1.426979005E-01 -1.483354909E-01 -1.854509435E-01 -6.498460352E+01 
        51 -1.367982065E-01 -1.458540890E-01 -1.849656485E-01 -6.733234582E+01 
        52 -1.398657682E-01 -1.465098134E-01 -1.848352137E-01 -6.522578611E+01 
        53 -1.392939836E-01 -1.460510810E-01 -1.846353655E-01 -6.642097024E+01 
        54 -1.150558340E-01 -1.407724417E-01 -1.843788899E-01 -7.636368844E+01 
        55 -1.423756081E-01 -1.463741933E-01 -1.842732437E-01 -6.521866967E+01 
        56 -1.310880247E-01 -1.432781907E-01 -1.842010711E-01 -7.212555318E+01 
        57 -1.237555768E-01 -1.415460963E-01 -1.838982790E-01 -7.447437861E+01 
        58 -8.994189191E-02 -1.369956351E-01 -1.837361393E-01 -8.251868660E+01 
        59 -9.626126086E-02 -1.377055274E-01 -1.837244331E-01 -8.346063216E+01 
        60 -8.674681887E-02 -1.396502451E-01 -1.836230032E-01 -9.069753773E+01 
        61 -1.106986382E-01 -1.393649463E-01 -1.835900675E-01 -7.743797338E+01 
        62 -1.422563812E-01 -1.471619727E-01 -1.835779301E-01 -6.512574176E+01 
        63 -1.348979768E-01 -1.432362732E-01 -1.834442115E-01 -7.061771732E+01 
        64 -1.007568764E-01 -1.378010102E-01 -1.831325134E-01 -8.012868257E+01 
        65 -1.298812423E-01 -1.416253205E-01 -1.829651116E-01 -7.341704301E+01 
        66 -8.666445589E-02 -1.425941146E-01 -1.827309150E-01 -8.968925066E+01 
        67 -1.260145235E-01 -1.407192366E-01 -1.826329452E-01 -7.352689795E+01 
        68 -9.437857054E-02 -1.366012105E-01 -1.822695588E-01 -7.924020450E+01 
        69 -1.188027537E-01 -1.394003321E-01 -1.822610763E-01 -7.373991358E+01 
        70 -1.401476484E-01 -1.427632073E-01 -1.821626318E-01 -6.737998741E+01 
        71 -1.417169141E-01 -1.427303212E-01 -1.818037360E-01 -6.556383759E+01 
        72 -1.359170480E-01 -1.415041392E-01 -1.817666930E-01 -7.071893613E+01 
        73 -8.648295000E-02 -1.433011437E-01 -1.817568343E-01 -8.752629075E+01 
        74 -8.652205795E-02 -1.447916500E-01 -1.816848325E-01 -8.991046895E+01 
        75 -8.613872122E-02 -1.357403689E-01 -1.814368603E-01 -8.472929802E+01 
        76 -1.386774009E-01 -1.414572912E-01 -1.812830064E-01 -6.854939060E+01 
        77 -8.749867371E-02 -1.356458903E-01 -1.811736071E-01 -7.583176652E+01 
        78 -1.415840206E-01 -1.434555480E-01 -1.810549461E-01 -6.467660609E+01 
        79 -8.607341923E-02 -1.370005316E-01 -1.809138235E-01 -9.110704693E+01 
        80 -1.317392747E-01 -1.398405540E-01 -1.808272782E-01 -7.262915090E+01 
        81 -1.344074368E-01 -1.399848346E-01 -1.805181422E-01 -7.154086858E+01 
        82 -1.414104099E-01 -1.436756540E-01 -1.802015006E-01 -6.440384541E+01 
        83 -1.090010944E-01 -1.367946498E-01 -1.801696746E-01 -7.206020831E+01 
        84 -1.027680151E-01 -1.361780759E-01 -1.799963445E-01 -7.238158283E+01 
        85 -1.413478342E-01 -1.451023575E-01 -1.796627056E-01 -6.469599151E+01 
        86 -1.395725700E-01 -1.394405952E-01 -1.791262600E-01 -6.773181437E+01 
        87 -1.409582886E-01 -1.393940209E-01 -1.788119497E-01 -6.524707934E+01 
        88 -1.267413509E-01 -1.372738117E-01 -1.784861030E-01 -7.117552623E+01 
        89 -1.409838626E-01 -1.420788547E-01 -1.784714262E-01 -6.410131944E+01 
        90 -1.408899298E-01 -1.398485648E-01 -1.784127860E-01 -6.391522937E+01 
        91 -9.407315156E-02 -1.349865113E-01 -1.784012544E-01 -6.942497828E+01 
        92 -1.299763666E-01 -1.375739351E-01 -1.783095433E-01 -7.090870642E+01 
        93 -1.354377612E-01 -1.381755902E-01 -1.782634924E-01 -7.023223175E+01 
        94 -8.899542406E-02 -1.346072253E-01 -1.782068215E-01 -6.805067792E+01 
