nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -1.952921754E-01 -6.390158948E-02  8.330338215E-02 -5.956149503E+01 
         2 -1.948232374E-01 -6.170531431E-02  8.388461457E-02 -7.195994563E+01 
         3 -2.027464233E-01 -6.261568361E-02  8.423283984E-02 -5.558098084E+01 
         4 -1.977783887E-01 -5.899459787E-02  8.465945271E-02 -7.109283957E+01 
         5 -1.880795625E-01 -6.584882020E-02  8.466830703E-02 -6.626239110E+01 
         6 -2.022794038E-01 -6.028996447E-02  8.486119792E-02 -7.083505074E+01 
         7 -1.904865532E-01 -6.073717981E-02  8.492316571E-02 -7.444232521E+01 
         8 -1.876165947E-01 -6.381942900E-02  8.520516556E-02 -7.582923594E+01 
         9 -1.954849241E-01 -6.450352102E-02  8.537320829E-02 -4.771153341E+01 
        10 -2.024457225E-01 -6.306897201E-02  8.548822829E-02 -4.088135708E+01 
        11 -1.886088090E-01 -6.611574199E-02  8.588805494E-02 -5.667471845E+01 
        12 -1.967016766E-01 -5.451488878E-02  8.605052889E-02 -7.357988809E+01 
        13 -1.894323899E-01 -5.650502501E-02  8.628411062E-02 -8.054700219E+01 
        14 -1.924116195E-01 -5.349224061E-02  8.650895490E-02 -8.031738797E+01 
        15 -2.050520621E-01 -5.799206412E-02  8.663011659E-02 -7.133525943E+01 
        16 -1.985438077E-01 -6.433731277E-02  8.691883591E-02 -4.370563631E+01 
        17 -1.928129292E-01 -6.560834033E-02  8.711386315E-02 -5.153181133E+01 
        18 -1.997485726E-01 -5.187186080E-02  8.733052509E-02 -7.468757071E+01 
        19 -2.096842153E-01 -6.212547254E-02  8.737373135E-02 -5.387262890E+01 
        20 -1.835735626E-01 -6.294573641E-02  8.756567158E-02 -8.212612908E+01 
        21 -1.912122819E-01 -4.923462466E-02  8.786368348E-02 -8.720827542E+01 
        22 -2.092319618E-01 -5.975216412E-02  8.803155605E-02 -7.091267557E+01 
        23 -2.040113103E-01 -5.334137044E-02  8.806718782E-02 -7.301804779E+01 
        24 -1.850746608E-01 -5.574848332E-02  8.811365004E-02 -9.880644544E+01 
        25 -1.818714198E-01 -6.826091585E-02  8.821380796E-02 -6.946416618E+01 
        26 -2.053210842E-01 -6.344271927E-02  8.864809720E-02 -3.927405602E+01 
        27 -1.943819671E-01 -4.612266532E-02  8.866380332E-02 -8.343772644E+01 
        28 -2.088274577E-01 -6.272030432E-02  8.870671659E-02 -3.921192591E+01 
        29 -1.985775134E-01 -4.732120182E-02  8.871709176E-02 -7.766081140E+01 
        30 -1.813289662E-01 -6.605553823E-02  8.881127820E-02 -8.202586835E+01 
        31 -1.828080966E-01 -5.860818918E-02  8.882457239E-02 -1.001548744E+02 
        32 -1.868115948E-01 -4.844222585E-02  8.909270817E-02 -1.069444400E+02 
        33 -1.842646484E-01 -5.139341722E-02  8.944049052E-02 -1.181154295E+02 
        34 -1.859705541E-01 -6.785920918E-02  8.970862026E-02 -6.036665737E+01 
        35 -1.833065613E-01 -6.846088395E-02  8.983418865E-02 -6.285501930E+01 
        36 -1.931503667E-01 -4.222842765E-02  8.989410240E-02 -8.716764280E+01 
        37 -2.067220813E-01 -5.117566123E-02  9.032342271E-02 -7.260837298E+01 
        38 -1.858502963E-01 -4.428308620E-02  9.041254635E-02 -1.160333034E+02 
        39 -1.890728591E-01 -4.111639768E-02  9.045809375E-02 -1.001027147E+02 
        40 -2.017085912E-01 -4.478365763E-02  9.057817864E-02 -7.843120995E+01 
        41 -2.115798810E-01 -5.783386490E-02  9.076457064E-02 -7.018104134E+01 
        42 -1.966150540E-01 -3.880951177E-02  9.143421863E-02 -8.811237011E+01 
        43 -2.102948599E-01 -6.334111423E-02  9.170449277E-02 -4.003493070E+01 
        44 -1.880412895E-01 -3.722141909E-02  9.171312259E-02 -1.052957267E+02 
        45 -2.057152338E-01 -4.643128102E-02  9.182878582E-02 -7.507717989E+01 
        46 -2.004614921E-01 -4.026636149E-02  9.192218041E-02 -8.524149622E+01 
        47 -1.788225128E-01 -5.804443397E-02  9.199685699E-02 -1.273034709E+02 
        48 -1.800348614E-01 -5.069322109E-02  9.208726682E-02 -1.476956466E+02 
        49 -1.931378754E-01 -6.709078287E-02  9.210957951E-02 -5.123216326E+01 
        50 -1.781049150E-01 -6.549084420E-02  9.216755132E-02 -9.094427218E+01 
        51 -1.820848577E-01 -4.329397951E-02  9.217328346E-02 -1.468825280E+02 
