nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -1.680859348E-02  3.196704116E-01  3.267003479E-02 -8.201014554E+01 
         2  3.166457128E-04  3.196704116E-01  3.267003479E-02 -8.070089739E+01 
         3  1.738305407E-02  3.196704116E-01  3.267003479E-02 -7.992625326E+01 
         4 -3.165114777E-02  3.192870564E-01  3.305339003E-02 -8.355116780E+01 
         5  3.206533694E-02  3.192366257E-01  3.310382074E-02 -7.974237363E+01 
         6 -4.361943697E-02  3.179667714E-01  3.437367503E-02 -8.445249962E+01 
         7  4.388316449E-02  3.178861453E-01  3.445430112E-02 -8.057825278E+01 
         8 -1.678913102E-02  3.174026243E-01  3.493782209E-02 -8.994752494E+01 
         9 -3.164448944E-02  3.212896930E-01  3.494831510E-02 -7.839274486E+01 
        10  3.205638690E-02  3.214442738E-01  3.525839687E-02 -8.198449837E+01 
        11 -1.678913102E-02  3.222808981E-01  3.528052120E-02 -7.623767726E+01 
        12  3.163123954E-04  3.169034908E-01  3.543695565E-02 -8.752264812E+01 
        13 -3.134605236E-02  3.167358430E-01  3.560460339E-02 -9.066776069E+01 
        14  3.170548317E-02  3.165923740E-01  3.574807246E-02 -8.037271607E+01 
        15  1.735724274E-02  3.163899758E-01  3.595047066E-02 -8.377283875E+01 
        16  3.163123954E-04  3.233535580E-01  3.635318117E-02 -7.708728570E+01 
        17 -5.309330819E-02  3.158753317E-01  3.646511478E-02 -8.517848819E+01 
        18  5.325440389E-02  3.158328759E-01  3.650757049E-02 -8.108706215E+01 
        19 -4.286812548E-02  3.158155027E-01  3.652494375E-02 -8.994401895E+01 
        20 -4.364785906E-02  3.203657187E-01  3.667030493E-02 -8.190272712E+01 
        21  4.309486593E-02  3.156116167E-01  3.672882974E-02 -7.836653315E+01 
        22  1.735724274E-02  3.238350121E-01  3.683463522E-02 -7.932667481E+01 
        23  4.391134885E-02  3.208114207E-01  3.727036085E-02 -8.408078793E+01 
