nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1 -2.802000009E-02  1.140752871E-01  6.174928980E-02  6.031609434E-01 
         2 -2.323874328E-02  1.140752871E-01  6.174928980E-02 -3.123617711E+01 
         3 -1.218645274E-02  1.140752871E-01  6.174928980E-02 -2.299826520E+01 
         4 -1.395203457E-06  1.140752871E-01  6.174928980E-02 -1.510166133E+01 
         5  1.217006440E-02  1.140752871E-01  6.174928980E-02 -1.692357083E+01 
         6  2.319989972E-02  1.140752871E-01  6.174928980E-02 -3.232511974E+01 
         7  2.802000009E-02  1.140752871E-01  6.174928980E-02 -3.919692855E+00 
         8  2.293170061E-02  1.167404559E-01  6.247692219E-02 -3.625318886E+01 
         9 -2.293147986E-02  1.167508166E-01  6.250157357E-02 -3.567745576E+01 
        10  1.236063724E-02  1.171753446E-01  6.259565355E-02 -1.803340238E+01 
        11 -1.239502968E-02  1.172230529E-01  6.263435318E-02 -2.456320659E+01 
        12  1.166817070E-02  1.184136786E-01  6.304104645E-02 -1.478381921E+01 
        13 -1.152271039E-02  1.187624661E-01  6.319437046E-02 -2.110754259E+01 
        14  2.477831014E-02  1.193601039E-01  6.332294845E-02 -4.150955106E+01 
        15 -2.481640089E-02  1.193597323E-01  6.334084933E-02 -4.115685029E+01 
        16  2.802000009E-02  1.198337293E-01  6.355796689E-02 -1.089036774E+01 
        17 -2.802000009E-02  1.198426403E-01  6.356374831E-02 -9.837889493E+00 
        18  2.934599841E-07  1.193748931E-01  6.365259779E-02 -1.454292017E+01 
        19 -2.802000009E-02  1.121126963E-01  6.371188061E-02  4.342556263E+01 
        20  2.802000009E-02  1.120997876E-01  6.372478928E-02  4.070085958E+01 
        21  3.932264827E-03  1.211126780E-01  6.423526114E-02 -1.248574233E+01 
        22 -4.629371921E-03  1.212492959E-01  6.427457302E-02 -1.697623534E+01 
        23  2.210936170E-02  1.245699041E-01  6.520775674E-02 -3.123810091E+01 
        24 -2.215024790E-02  1.246288545E-01  6.530596238E-02 -3.712992632E+01 
        25  1.626744011E-02  1.250643361E-01  6.545840848E-02 -1.998980645E+01 
        26 -1.660578915E-02  1.252205138E-01  6.560468366E-02 -2.555885986E+01 
        27  2.802000009E-02  1.184020521E-01  6.637318098E-02  2.932393728E+01 
        28 -2.802000009E-02  1.183959745E-01  6.640420499E-02  3.033380942E+01 
        29  2.802000009E-02  1.146071852E-01  6.692980666E-02  4.629711182E+01 
        30 -2.802000009E-02  1.146637891E-01  6.698642265E-02  4.909490622E+01 
        31  2.516474511E-02  1.290378197E-01  6.742367254E-02 -3.542181254E+01 
        32 -2.537968386E-02  1.290255662E-01  6.748012536E-02 -3.922896439E+01 
        33  2.802000009E-02  1.290081770E-01  6.752348803E-02 -2.777974775E+01 
        34 -2.802000009E-02  1.290169649E-01  6.753582159E-02 -3.018535147E+01 
        35  6.006621835E-03  1.291958360E-01  6.761761837E-02 -1.772132616E+01 
        36  1.351097242E-02  1.295397534E-01  6.771898166E-02 -2.123094697E+01 
        37 -2.802000009E-02  1.074530830E-01  6.837149387E-02  5.448147691E+01 
        38  2.802000009E-02  1.074515034E-01  6.837307356E-02  5.197865654E+01 
        39 -1.363213126E-02  1.303730268E-01  6.837372005E-02 -2.682257001E+01 
        40 -6.527573558E-03  1.304742192E-01  6.847973001E-02 -2.202415021E+01 
        41 -2.316175775E-02  1.324441267E-01  6.955405332E-02 -3.757407511E+01 
        42  2.258247561E-02  1.329923537E-01  6.986887550E-02 -3.468326129E+01 
        43  2.802000009E-02  1.275976414E-01  6.999665271E-02 -1.502220744E+01 
        44  1.597458272E-02  1.332503426E-01  7.003467854E-02 -2.975626380E+01 
        45 -2.802000009E-02  1.275570713E-01  7.009953773E-02 -1.627471566E+01 
        46 -1.650478494E-02  1.333720500E-01  7.024187724E-02 -3.500038042E+01 
        47  2.802000009E-02  1.215054607E-01  7.037280288E-02  7.632548606E+00 
        48  2.372429149E-03  1.334057022E-01  7.059803709E-02 -2.348573824E+01 
        49 -2.802000009E-02  1.217553027E-01  7.062214300E-02  7.535340323E+00 
        50 -3.207075550E-03  1.336561538E-01  7.076392962E-02 -2.618777915E+01 
        51 -2.802000009E-02  1.050474045E-01  7.077717241E-02  5.126033398E+01 
        52  2.802000009E-02  1.050474045E-01  7.077717241E-02  4.993754684E+01 
        53  2.802000009E-02  1.103164152E-01  7.141101351E-02  5.261656673E+01 
        54 -2.802000009E-02  1.103729057E-01  7.146556712E-02  5.473684766E+01 
        55  2.512400733E-02  1.368159169E-01  7.281753376E-02 -3.823682369E+01 
        56 -2.595001408E-02  1.368168330E-01  7.288229595E-02 -4.258384806E+01 
        57  2.795137001E-02  1.368245224E-01  7.288427202E-02 -3.764643900E+01 
        58 -2.794593103E-02  1.368443284E-01  7.290667566E-02 -4.108575461E+01 
        59  1.406702077E-02  1.369307675E-01  7.292359541E-02 -3.576248642E+01 
        60 -2.802000009E-02  1.100868557E-01  7.367848297E-02  4.616992488E+01 
        61  2.802000009E-02  1.100414536E-01  7.369672153E-02  4.493228021E+01 
        62 -1.580660247E-02  1.378525216E-01  7.376492141E-02 -4.434487631E+01 
        63 -2.802000009E-02  1.302268471E-01  7.384378753E-02 -3.178947007E+01 
        64  6.884957154E-03  1.380858310E-01  7.392174724E-02 -3.304657667E+01 
        65 -2.796472149E-02  1.359222100E-01  7.399146107E-02 -4.097698393E+01 
        66  2.802000009E-02  1.304782246E-01  7.442821223E-02 -3.035558493E+01 
        67  2.797822891E-02  1.354082008E-01  7.454879508E-02 -3.850811380E+01 
        68 -6.468621561E-03  1.390643807E-01  7.482339806E-02 -3.839901863E+01 
        69  2.321528023E-02  1.392985549E-01  7.497282118E-02 -4.120181711E+01 
        70 -2.313533982E-02  1.394248714E-01  7.514207703E-02 -4.749833432E+01 
        71 -1.344015421E-02  1.394948880E-01  7.527955571E-02 -4.747401500E+01 
        72  2.802000009E-02  1.074564425E-01  7.537317182E-02  4.073460361E+01 
        73 -2.802000009E-02  1.074518999E-01  7.537544592E-02  4.229248032E+01 
        74  1.696636065E-02  1.397986951E-01  7.545871781E-02 -4.357333292E+01 
        75  2.802000009E-02  1.193027873E-01  7.695441547E-02  9.141121574E+00 
        76 -2.802000009E-02  1.194925054E-01  7.712174834E-02  8.461063689E+00 
        77  5.935999545E-03  1.420282312E-01  7.756118536E-02 -3.960147753E+01 
        78  2.802000009E-02  1.154468580E-01  7.805630499E-02  2.418915328E+01 
        79 -2.802000009E-02  1.155949592E-01  7.827253652E-02  2.498855191E+01 
        80 -2.401349133E-02  1.429355265E-01  7.846062310E-02 -5.280416743E+01 
        81  2.526882860E-02  1.430735745E-01  7.859837277E-02 -4.713393437E+01 
        82  2.802000009E-02  1.284825462E-01  7.864933015E-02 -2.860484727E+01 
        83 -3.648312191E-03  1.431474121E-01  7.867789849E-02 -3.883319230E+01 
        84  1.596086935E-02  1.432264700E-01  7.875093838E-02 -5.339256541E+01 
        85  2.700764333E-02  1.433274429E-01  7.885169218E-02 -4.466819695E+01 
        86 -2.700129374E-02  1.433649651E-01  7.888913327E-02 -5.024682830E+01 
        87 -2.777053045E-02  1.373510056E-01  7.897831243E-02 -4.805287405E+01 
        88  2.777293692E-02  1.374509908E-01  7.904274676E-02 -4.405841566E+01 
        89 -1.523233530E-02  1.436999560E-01  7.922339935E-02 -6.172228442E+01 
        90  2.707252797E-02  1.425774302E-01  7.961107171E-02 -4.584773572E+01 
        91  1.350726116E-03  1.441521600E-01  7.968037184E-02 -3.641978872E+01 
        92 -2.802000009E-02  1.284801901E-01  7.971865583E-02 -3.229019924E+01 
        93 -2.193850696E-02  1.443972766E-01  7.991921246E-02 -6.183332716E+01 
        94  2.802000009E-02  1.230002097E-01  8.002272761E-02 -1.311021888E+01 
        95 -2.708997722E-02  1.420133865E-01  8.025681119E-02 -5.146578913E+01 
        96  1.192456366E-02  1.448692080E-01  8.039012517E-02 -5.163682174E+01 
        97  2.141865053E-02  1.456443706E-01  8.116361085E-02 -5.567356478E+01 
        98 -2.802000009E-02  1.245044381E-01  8.134456965E-02 -1.683040912E+01 
        99 -1.288875473E-02  1.464601483E-01  8.197762383E-02 -6.894207818E+01 
       100 -2.780294568E-02  1.335131386E-01  8.258110194E-02 -4.576958548E+01 
       101 -8.385632155E-03  1.471658045E-01  8.268175398E-02 -5.447361481E+01 
       102  1.187209894E-02  1.476756522E-01  8.319050196E-02 -6.209316685E+01 
       103  2.762214393E-02  1.347879174E-01  8.335968493E-02 -4.649369637E+01 
       104 -2.802000009E-02  1.133908390E-01  8.361707319E-02  9.140065039E+00 
       105  2.154654911E-02  1.481115991E-01  8.362550586E-02 -6.833463913E+01 
       106  2.802000009E-02  1.132368134E-01  8.363300033E-02  1.024132569E+01 
       107  2.776045414E-02  1.319603660E-01  8.365102878E-02 -3.877413940E+01 
       108 -2.217252446E-02  1.484049582E-01  8.391822986E-02 -7.420265306E+01 
       109  2.802000009E-02  1.104067547E-01  8.412494919E-02  8.673106821E+00 
       110 -2.802000009E-02  1.103956191E-01  8.414654013E-02  6.736940173E+00 
       111  2.401507248E-02  1.490870566E-01  8.459885443E-02 -5.745526772E+01 
       112 -2.399995033E-02  1.491312438E-01  8.464294591E-02 -6.453800883E+01 
       113  2.612171238E-03  1.491484711E-01  8.466013474E-02 -3.361641385E+01 
       114 -2.621732991E-02  1.425462833E-01  8.468973436E-02 -5.616957396E+01 
       115  2.610835615E-02  1.431067139E-01  8.475594724E-02 -4.822442306E+01 
       116 -2.754695450E-02  1.339491204E-01  8.522716711E-02 -4.907463906E+01 
       117 -2.801663064E-02  1.239569453E-01  8.546301848E-02 -2.051815819E+01 
       118  1.739558955E-02  1.501740757E-01  8.568352411E-02 -7.685792785E+01 
       119 -1.736554223E-02  1.502145459E-01  8.572390544E-02 -8.284078999E+01 
       120 -6.883062237E-03  1.503126210E-01  8.582176718E-02 -5.419575932E+01 
       121  7.400240498E-03  1.503258790E-01  8.583499815E-02 -4.716731933E+01 
       122  2.798806545E-02  1.229471163E-01  8.589773167E-02 -1.572942517E+01 
       123 -2.411987196E-02  1.474861185E-01  8.638178506E-02 -5.719945645E+01 
       124  2.412608887E-02  1.473317450E-01  8.643660653E-02 -4.760627506E+01 
       125 -2.627347514E-02  1.398274422E-01  8.709655049E-02 -5.685464615E+01 
       126 -1.409243735E-03  1.516132700E-01  8.711960421E-02 -3.559391948E+01 
       127  2.190006456E-02  1.517810259E-01  8.728700080E-02 -6.362542745E+01 
       128  2.640977529E-02  1.387189594E-01  8.749742703E-02 -4.884842249E+01 
       129  2.773504921E-02  1.292594122E-01  8.751421139E-02 -3.160658853E+01 
       130  8.180230558E-03  1.521976960E-01  8.770276785E-02 -5.062654344E+01 
       131 -1.661415191E-02  1.522466571E-01  8.775162405E-02 -8.767830553E+01 
       132  1.713681570E-02  1.525597089E-01  8.806400004E-02 -8.374627519E+01 
       133  2.802000009E-02  1.165990993E-01  8.807976822E-02  2.855872104E-01 
       134 -2.802000009E-02  1.165950670E-01  8.822291136E-02 -3.496278859E+00 
       135  2.799789060E-02  1.201538264E-01  8.844640356E-02 -5.960290806E+00 
       136 -2.801720706E-02  1.192805790E-01  8.864554296E-02 -9.889502412E+00 
       137 -2.742952942E-02  1.313738002E-01  8.898885183E-02 -4.507891681E+01 
       138 -1.114945078E-02  1.537858973E-01  8.928753612E-02 -7.748732593E+01 
       139  1.337606213E-02  1.538163393E-01  8.931791320E-02 -7.613633721E+01 
       140  1.877992070E-02  1.538165484E-01  8.931812255E-02 -6.671494148E+01 
       141 -1.874901729E-02  1.538723097E-01  8.937376313E-02 -7.354348883E+01 
       142 -2.767600654E-02  1.287183304E-01  8.949461139E-02 -3.509386802E+01 
       143  2.580104141E-02  1.382252629E-01  9.045831164E-02 -4.587206845E+01 
       144  2.744054303E-02  1.300580958E-01  9.047471902E-02 -3.460597174E+01 
       145 -1.059227603E-02  1.552867254E-01  9.078511991E-02 -6.920737605E+01 
       146  2.208979234E-02  1.474605799E-01  9.092295036E-02 -4.386599492E+01 
       147 -6.278916983E-04  1.554570347E-01  9.095505957E-02 -2.712304965E+01 
       148 -2.193680807E-02  1.477190527E-01  9.105979628E-02 -5.810364999E+01 
       149  5.964207103E-03  1.557600439E-01  9.125741342E-02 -4.010589085E+01 
       150 -2.524404368E-02  1.396649753E-01  9.143842073E-02 -5.342684077E+01 
       151  2.095682978E-02  1.491062599E-01  9.168144442E-02 -4.600023835E+01 
       152  3.625051431E-03  1.567372685E-01  9.223252554E-02 -2.797061962E+01 
       153  1.891824831E-02  1.509795925E-01  9.238411939E-02 -4.853340695E+01 
       154 -1.887799842E-02  1.510286070E-01  9.243303520E-02 -5.520357411E+01 
       155  2.614051608E-02  1.350122413E-01  9.243824015E-02 -4.156616100E+01 
       156  1.190944677E-02  1.571282743E-01  9.262268754E-02 -5.411450458E+01 
       157 -2.245805235E-02  1.449477211E-01  9.263701594E-02 -4.885074776E+01 
       158 -3.658139934E-03  1.571457327E-01  9.264010721E-02 -4.017825706E+01 
       159 -1.186243497E-02  1.571823211E-01  9.267661781E-02 -6.296640433E+01 
       160  2.802000009E-02  1.106309497E-01  9.323390525E-02  4.472354658E+00 
       161 -2.802000009E-02  1.106317283E-01  9.326193291E-02  2.886075193E-01 
       162 -2.802000009E-02  1.125234889E-01  9.347509174E-02 -2.197854790E-02 
       163  2.802000009E-02  1.127270236E-01  9.349264834E-02  4.214535331E+00 
       164 -2.589188362E-02  1.351542163E-01  9.355484549E-02 -4.846860049E+01 
       165  2.295536940E-02  1.429417382E-01  9.367678645E-02 -4.028190619E+01 
