nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
         1  2.001359500E-02  1.464314938E-01  9.607588804E-02 -4.123730216E+01 
         2 -1.998639666E-02  1.464511132E-01  9.609546525E-02 -4.341288040E+01 
         3  1.653540714E-02  1.482467890E-01  9.788726056E-02 -5.489410031E+01 
         4 -1.649545602E-02  1.482527177E-01  9.789317429E-02 -5.694834720E+01 
         5  2.001359500E-02  1.436125986E-01  9.890088843E-02 -1.891652524E+01 
         6 -1.998639666E-02  1.436041164E-01  9.894863277E-02 -2.048944549E+01 
         7  1.778153983E-02  1.495845040E-01  9.922208294E-02 -6.163969305E+01 
         8 -1.773036058E-02  1.495966716E-01  9.923422348E-02 -6.290744360E+01 
         9  2.001674289E-02  1.496470942E-01  9.928453672E-02 -4.545756153E+01 
        10 -1.998325370E-02  1.496616285E-01  9.929904065E-02 -4.731359846E+01 
        11 -8.629782612E-03  1.511130608E-01  1.007473354E-01 -4.285180399E+01 
        12  8.687354848E-03  1.511258559E-01  1.007601029E-01 -3.556834832E+01 
        13 -1.998467230E-02  1.451884404E-01  1.008837390E-01 -1.488705992E+01 
        14  2.001534853E-02  1.452014746E-01  1.008909833E-01 -1.340145512E+01 
        15 -1.998331621E-02  1.478875379E-01  1.009492700E-01 -1.943388813E+01 
        16  2.001668059E-02  1.478544967E-01  1.009536456E-01 -1.592094413E+01 
        17  2.910476283E-05  1.520950983E-01  1.017272499E-01 -3.128552194E+01 
        18 -1.575221079E-02  1.523414568E-01  1.019730755E-01 -5.754863590E+01 
        19  1.579957839E-02  1.523447496E-01  1.019763616E-01 -5.131560927E+01 
        20  2.001976610E-02  1.527353225E-01  1.023660886E-01 -4.210997134E+01 
        21 -1.998023577E-02  1.527444396E-01  1.023751880E-01 -4.918153777E+01 
        22 -1.135912476E-02  1.531225347E-01  1.027524654E-01 -4.526425582E+01 
        23  1.143009067E-02  1.531264301E-01  1.027563526E-01 -3.818380362E+01 
        24 -3.930248874E-03  1.549301516E-01  1.045561767E-01 -3.384040717E+01 
        25  4.013327138E-03  1.549476022E-01  1.045735879E-01 -2.778742907E+01 
        26  2.001359500E-02  1.374021224E-01  1.051248219E-01 -7.896968003E+00 
        27 -1.998639666E-02  1.373913240E-01  1.051748848E-01 -6.963706285E+00 
        28  2.002283281E-02  1.558684997E-01  1.054924936E-01 -4.260077434E+01 
        29 -1.997717419E-02  1.558712137E-01  1.054952027E-01 -4.847585458E+01 
        30  1.923439445E-02  1.559935931E-01  1.056173165E-01 -6.043256261E+01 
        31 -1.916538996E-02  1.559973665E-01  1.056210830E-01 -6.735440712E+01 
        32 -1.998374736E-02  1.421708855E-01  1.057971300E-01 -6.252459011E+00 
        33 -1.997971329E-02  1.503830821E-01  1.058080582E-01 -1.628408415E+01 
        34  2.002029742E-02  1.503785020E-01  1.058135484E-01 -1.146137146E+01 
        35  2.001626348E-02  1.420894304E-01  1.058787935E-01 -5.334097536E+00 
        36 -4.038336046E-03  1.562585697E-01  1.058817227E-01 -3.530896234E+01 
        37  4.119295363E-03  1.562590765E-01  1.058822273E-01 -2.741818681E+01 
        38 -1.998566464E-02  1.381234342E-01  1.059365026E-01 -1.962334900E+00 
        39  2.001440167E-02  1.381873107E-01  1.059858310E-01 -2.220585620E+00 
        40 -1.124580586E-02  1.565661939E-01  1.061886814E-01 -4.525854693E+01 
        41  1.131956882E-02  1.565711317E-01  1.061936066E-01 -3.751148925E+01 
        42  2.002295494E-02  1.550381739E-01  1.065740317E-01 -1.209056642E+01 
        43 -1.997705007E-02  1.550398338E-01  1.065814866E-01 -1.581037269E+01 
        44 -7.905819556E-03  1.581709955E-01  1.077900134E-01 -4.228350861E+01 
        45 -1.997386478E-02  1.592510900E-01  1.088677727E-01 -3.536724800E+01 
        46 -1.616210786E-02  1.592510900E-01  1.088677727E-01 -5.332394941E+01 
        47 -7.918485320E-03  1.592510900E-01  1.088677727E-01 -4.170465794E+01 
        48  6.333500319E-05  1.592510900E-01  1.088677727E-01 -3.077338236E+01 
