	X       Y	Z
	----	----	----
B1	 44.90  57.90  76.70
B2	 93.20  73.60  88.10
B3	 54.80  93.10  56.20
B4	 89.10  74.20  93.60
B5	 77.30  57.90  45.30
B6	 63.90  82.80  95.10
B7	 98.80  99.40  95.20
B8	-69.10 -115.60 -65.30
B9	-79.90 -79.90 -65.30
B10	-69.10 -71.60 -53.60
B11	-59.40 -31.60 -68.70
B12	-42.90 -81.50  -0.20
B13	 80.50  40.60  68.00
B14	 30.50  58.60  53.60
B15	 71.00  -0.60  -0.60
B16	 -0.60  -0.20  -0.20
B17	 -0.20  73.60   0.30
B18	 87.70  73.20 -73.20
B19	-87.70 -73.60  25.52
B20	 21.92 -22.48 -45.48
B21	-62.78 -97.78 -117.18
B22	-141.28 -117.18 -97.78
B24	-62.78 -45.48 -22.48
B25	 21.92  25.42  31.72
B26	 -1.78 -30.08 -52.98
B27	-76.88 -121.18  20.12
B28	-101.08 -104.68 -141.88
B30	-141.88 -104.68  20.12
