Scanner ID;Sensor ID
101;B24
102;B26
103;B22
104;A11
105;A12
106;B25
107;A10
108;D5
109;D6
110;D1
111;D12
112;D16
113;B2
114;D14
115;B15
116;D10
117;D2
118;D3
119;B1
120;B14
121;B18
122;B17
123;A16
124;A15
125;A13
126;A14
127;D4
128;D11
129;D8
130;D9
131;D15
132;D7
201;B20
202;I8
203;B12
204;I7
205;B13
206;I5
207;B19
208;B11
209;I6
210;I1
211;I4
212;W12
213;W6
214;W3
215;W13
216;W1
217;W14
218;W11
219;W16
220;W7
221;W15
222;W9
223;W10
224;W5
225;W2
226;W4
227;I9
228;I10
229;I11
230;I12
231;I3
232;I2
301;C2
302;C3
303;C5
304;A7
305;A6
306;C1
307;A2
308;A9
309;C12
310;A8
311;B8
312;C7
313;C8
314;C4
315;C6
316;A1
317;C10
318;B6
319;B21
320;A5
321;B16
322;C9
323;C16
324;C11
325;A4
326;C14
327;B5
328;C15
329;B3
330;A3
331;B7
332;B4
401;J13
402;J12
403;J16
404;B10
405;J2
406;J1
407;G1
408;G10
409;J9
410;G9
411;G12
412;G11
413;G4
414;G8
415;B9
416;B27
417;B30
418;B28
419;J7
420;G2
421;J3
422;G7
423;J6
424;J10
425;J11
426;G6
427;J5
428;G3
429;G5
430;J15
431;J14
432;J4
